vendor,hardware_vendor,model_name,test_sponsor,nominal_mhz,max_mhz,arch,cpus,threads_per_core,cores_per_socket,sockets,numas,l1d_cache_kb,l1i_cache_kb,l2_cache_kb,l3_cache_kb,mem_kb,mem_channels,channel_kb,mem_data_rate,storage_gb,os_name,os_vid,os,compiler,parallel,file_system,threads_or_copies,file,600.perlbench_s,t_600.perlbench_s,602.gcc_s,t_602.gcc_s,605.mcf_s,t_605.mcf_s,620.omnetpp_s,t_620.omnetpp_s,623.xalancbmk_s,t_623.xalancbmk_s,625.x264_s,t_625.x264_s,631.deepsjeng_s,t_631.deepsjeng_s,641.leela_s,t_641.leela_s,648.exchange2_s,t_648.exchange2_s,657.xz_s,t_657.xz_s
Intel,Hewlett Packard Enterprise,Xeon Gold 5122,HPE,3600,3700,x86_64,8,1,4,2,2,32,32,1024.0,16896.0,197575884,24,8388608.0,2666,960.0,RHEL,7.3,Red Hat Enterprise Linux Server release 7.3,C/C++: Version 18.0.0.128 of Intel C/C++,Yes,xfs,8,cpu2017-20171114-00784.csv,6.104376,290.775033,8.651573,460.26313,11.032502,427.917453,5.310159,307.147116,9.213921,153.789026,11.612991,151.898857,5.055549,283.450919,4.327338,394.237722,13.346202,220.287391,13.738323,449.982125
Intel,Cisco Systems,Xeon Gold 5120,Cisco Systems,2200,3200,x86_64,28,1,14,2,2,32,32,1024.0,19712.0,791226584,24,33554432.0,2666,240.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2 (x86_64),C/C++: Version 19.0.1.144 of Intel C/C++,Yes,xfs,28,cpu2017-20190205-10984.csv,5.491292,323.239053,8.191228,486.129789,9.905739,476.592426,5.191415,314.172557,8.246004,171.840804,11.23981,156.942149,4.566878,313.781084,3.917493,435.482611,11.622005,252.968392,18.687848,330.803206
Intel,Hewlett Packard Enterprise,Xeon Bronze 3106,HPE,1700,1700,x86_64,16,1,8,2,2,32,32,1024.0,11264.0,395933088,24,16777216.0,2666,480.0,RHEL,7.3,Red Hat Enterprise Linux Server release 7.3,C/C++: Version 18.0.0.128 of Intel C/C++,Yes,xfs,16,cpu2017-20171212-01828.csv,2.845036,623.89367,4.619533,861.991943,5.819971,811.172448,2.992077,545.106304,4.459338,317.760157,5.410472,326.034424,2.503074,572.495964,1.98961,857.454424,6.127148,479.831756,10.705047,577.484609
Intel,Lenovo Global Technology,Xeon Platinum 8153,Lenovo Global Technology,2000,2800,x86_64,64,1,16,4,4,32,32,1024.0,22528.0,1584976776,48,33554432.0,2666,960.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2 (x86_64),C/C++: Version 18.0.0.128 of Intel C/C++,Yes,xfs,64,cpu2017-20180611-06831.csv,4.74772,373.863658,7.307645,544.908788,8.961431,526.813204,5.498648,296.618393,7.36422,192.416843,8.964714,196.771482,3.926151,364.9885,3.284172,519.461266,10.071035,291.926314,19.178839,322.334418
Intel,Cisco Systems,Xeon Gold 6248,Cisco Systems,2500,3900,x86_64,80,1,20,4,4,32,32,1024.0,28160.0,1583727316,48,33554432.0,2933,1945.6,SLES,15,SUSE Linux Enterprise Desktop 15 (x86_64),C/C++: Version 19.0.4.227 of Intel C/C++,Yes,xfs,80,cpu2017-20191112-19812.csv,6.816849,260.384236,9.846005,404.427991,12.612482,374.311747,8.375848,194.726542,12.434332,113.958679,14.520458,121.483772,5.477349,261.622915,4.782459,356.720253,16.695707,176.093175,23.587191,262.091402
Intel,Huawei,Xeon Platinum 8158,Huawei,3000,3700,x86_64,24,1,12,2,2,32,32,1024.0,25344.0,394169160,24,16777216.0,2666,1200.0,RHEL,7.3,Red Hat Enterprise Linux Server release 7.3,C/C++: Version 18.0.2.199 of Intel C/C++,Yes,xfs,24,cpu2017-20181011-09151.csv,6.072913,292.281473,9.497948,419.248469,11.302802,417.684048,6.54924,249.036515,9.303847,152.302588,10.37764,169.980847,5.15997,277.714807,4.204324,405.772744,13.109116,224.271413,21.449166,288.216332
AMD,ASUSTeK Computer Inc.,EPYC 7H12,ASUSTeK Computer Inc.,2600,3300,x86_64,128,2,64,1,4,32,32,512,262144.0,528194036,8,67108864.0,3200,240.0,SLES,15.1,SUSE Linux Enterprise Server 15 SP1 (x86_64),C/C++/Fortran: Version 2.0.0 of AOCC,Yes,xfs,64,cpu2017-20200316-21243.csv,4.78092,371.267432,9.743031,408.702376,15.132062,311.986555,5.077037,321.25036,9.311126,152.183523,12.482978,141.31243,4.864143,294.604842,4.207154,405.499788,16.483171,178.363735,20.78664,297.402569
Intel,Huawei,Xeon Gold 6134,Huawei,3200,3700,x86_64,32,1,8,4,4,32,32,1024.0,25344.0,1583346560,48,33554432.0,2666,1200.0,RHEL,7.3,Red Hat Enterprise Linux Server release 7.3,C/C++: Version 18.0.0.128 of Intel C/C++,Yes,xfs,32,cpu2017-20180606-06656.csv,6.201398,286.225775,8.766781,454.214624,10.777347,438.048421,6.190003,263.489367,9.563771,148.163313,11.436571,154.242032,4.999602,286.6228,4.310415,395.785544,13.461933,218.393594,22.197953,278.494144
Intel,Supermicro,Xeon Gold 6138T,Supermicro,2000,3700,x86_64,40,1,20,2,2,32,32,1024.0,28160.0,791182148,24,33554432.0,2666,200.0,RHEL,7.6,Red Hat Enterprise Linux Server 7.6 (Maipo),C/C++: Version 19.0.1.144 of Intel C/C++,Yes,xfs,40,cpu2017-20190401-11645.csv,6.465857,274.518928,9.384433,424.319744,12.092723,390.400087,7.415431,219.94675,11.895313,119.122551,13.778956,128.021309,5.19087,276.061613,4.528435,376.730598,13.278282,221.414182,21.981652,281.234556
AMD,Lenovo Global Technology,EPYC 7532,Lenovo Global Technology,2400,3300,x86_64,32,1,32,1,4,32,32,512,262144.0,263994420,8,33554432.0,3200,960.0,RHEL,8.1,Red Hat Enterprise Linux 8.1,C/C++/Fortran: Version 2.0.0 of AOCC,Yes,xfs,32,cpu2017-20200511-22437.csv,4.755593,373.244701,9.548622,417.02351,14.882695,317.214055,4.941809,330.041094,9.248154,153.21976,12.321241,143.1674,4.805331,298.210437,4.16664,409.442664,16.288989,180.490018,21.205718,291.525146
Intel,Lenovo Global Technology,Xeon Gold 5215L,Lenovo Global Technology,2500,3400,x86_64,80,2,10,4,4,32,32,1024.0,14080.0,792235252,48,16777216.0,2666,800.0,SLES,12.4,SUSE Linux Enterprise Server 12 SP4 (x86_64),C/C++: Version 19.0.1.144 of Intel C/C++,Yes,tmpfs,80,cpu2017-20190708-15972.csv,5.834277,304.236515,8.51411,467.694194,11.229227,420.420743,5.54188,294.304484,10.913393,129.840462,11.746506,150.172317,4.755764,301.318561,4.157727,410.320353,12.257457,239.853995,21.52297,287.228015
Intel,Dell Inc.,Xeon Gold 6252,Dell Inc.,2100,3700,x86_64,192,2,24,4,8,32,32,1024.0,36608.0,791006940,24,33554432.0,2933,1638.4,Ubuntu,18.04,Ubuntu 18.04.2 LTS,C/C++: Version 19.0.4.227 of Intel C/C++,Yes,ext4,192,cpu2017-20190805-16481.csv,6.161833,288.063613,8.917252,446.55014,11.427781,413.116082,6.671111,244.487008,11.762371,120.468913,13.336254,132.271022,5.168533,277.254663,4.475891,381.153196,16.249785,180.925466,21.961506,281.49253
Intel,ASUSTeK Computer Inc.,Xeon Gold 5220,ASUSTeK Computer Inc.,2200,3900,x86_64,36,1,18,2,2,32,32,1024.0,25344.0,791113096,24,33554432.0,2933,1024.0,SLES,15,SUSE Linux Enterprise Server 15,C/C++: Version 19.0.4.227 of Intel C/C++,Yes,xfs,36,cpu2017-20190709-16049.csv,7.01061,253.18771,10.42029,382.13915,13.38957,352.5878,8.45165,192.98013,12.65213,111.99696,14.87869,118.5588,5.68612,252.01733,4.87187,350.17371,17.05843,172.34884,23.92387,258.40299
Intel,Huawei,Xeon Gold 5120T,Huawei,2200,3200,x86_64,28,1,14,2,2,32,32,1024.0,19712.0,790512260,24,33554432.0,2666,1200.0,RHEL,7.4,Red Hat Enterprise Linux Server release 7.4,C/C++: Version 18.0.0.128 of Intel C/C++,Yes,xfs,28,cpu2017-20180819-08433.csv,5.389911,329.318951,8.151516,488.498063,9.796647,481.899588,5.149411,316.735243,8.308032,170.557832,9.916028,177.89381,4.543152,315.419776,3.728842,457.514744,11.642038,252.533096,18.912683,326.870598
Intel,Huawei,Xeon Platinum 8168,Huawei,2700,3700,x86_64,48,1,24,2,2,32,32,1024.0,33792.0,394175288,24,16777216.0,2666,1200.0,RHEL,7.4,Red Hat Enterprise Linux Server release 7.4,C/C++: Version 18.0.2.199 of Intel C/C++,Yes,xfs,48,cpu2017-20180809-08286.csv,6.187252,286.8802,9.776896,407.286743,11.536772,409.213251,7.270714,224.324592,9.577152,147.956309,11.196067,157.555324,5.287296,271.027025,4.306513,396.144174,13.468332,218.289845,23.485208,263.229517
AMD,Dell Inc.,EPYC 7H12,Dell Inc.,2600,3300,x86_64,256,2,64,2,32,32,32,512,262144.0,527783152,16,33554432.0,3200,960.0,SLES,15.1,SUSE Linux Enterprise Server 15 SP1,C/C++/Fortran: Version 2.0.0 of AOCC,Yes,xfs,128,cpu2017-20191208-20207.csv,4.65547,381.271916,9.264408,429.816989,14.0513,335.983156,4.709427,346.326657,9.008853,157.289717,12.008117,146.90063,4.658808,307.58942,4.09377,416.730768,16.051239,183.163435,19.910068,310.49617
