vendor,hardware_vendor,model_name,test_sponsor,nominal_mhz,max_mhz,arch,cpus,threads_per_core,cores_per_socket,sockets,numas,l1d_cache_kb,l1i_cache_kb,l2_cache_kb,l3_cache_kb,mem_kb,mem_channels,channel_kb,mem_data_rate,storage_gb,os_name,os_vid,os,compiler,parallel,file_system,threads_or_copies,file,600.perlbench_s,t_600.perlbench_s,602.gcc_s,t_602.gcc_s,605.mcf_s,t_605.mcf_s,620.omnetpp_s,t_620.omnetpp_s,623.xalancbmk_s,t_623.xalancbmk_s,625.x264_s,t_625.x264_s,631.deepsjeng_s,t_631.deepsjeng_s,641.leela_s,t_641.leela_s,648.exchange2_s,t_648.exchange2_s,657.xz_s,t_657.xz_s
Intel,Dell Inc.,Xeon Gold 6142,Dell Inc.,2600,3700,x86_64,64,2,16,2,2,32,32,1024.0,22528.0,196690028,12,16777216.0,2666,480.0,CentOS,7,CentOS Linux release 7.4.1708 (Core),C/C++: Version 18.0.0.128 of Intel C/C++,Yes,xfs,64,cpu2017-20180122-02797.csv,6.142009,288.993404,9.153443,435.027554,10.774145,438.178636,5.818907,280.293198,9.423348,150.371179,11.606773,151.980226,5.037895,284.444181,4.317659,395.121495,13.30318,220.999789,22.648186,272.957846
AMD,ASUSTeK Computer Inc.,EPYC 7F72,ASUSTeK Computer Inc.,3200,3700,x86_64,48,2,24,1,2,32,32,512,196608.0,528195408,8,67108864.0,3200,240.0,SLES,15.1,SUSE Linux Enterprise Server 15 SP1 (x86_64),C/C++/Fortran: Version 2.0.0 of AOCC,Yes,xfs,24,cpu2017-20200316-21239.csv,5.071099,350.022727,10.37809,383.692949,16.587158,284.617772,5.180852,314.813071,10.50474,134.891491,14.010362,125.906809,5.326267,269.043954,4.721932,361.292819,17.889442,164.342741,22.580454,273.776601
Intel,Huawei,Xeon Gold 6254,Huawei,3100,4000,x86_64,36,1,18,2,2,32,32,1024.0,25344.0,394428348,24,16777216.0,2933,1200.0,SLES,12.4,SUSE Linux Enterprise Server 12 SP4 (x86_64),C/C++: Version 19.0.1.144 of Intel C/C++,Yes,xfs,36,cpu2017-20190425-12253.csv,6.93771,255.848112,10.006691,397.933744,12.868998,366.850642,7.941341,205.380924,12.732697,111.288283,14.515845,121.52238,5.597957,255.986237,4.900143,348.153137,14.453842,203.406129,23.482178,263.263483
Intel,Huawei,Xeon Platinum 8153,Huawei,2000,2800,x86_64,32,1,16,2,2,32,32,1024.0,22528.0,394174888,12,33554432.0,2666,2000.0,RHEL,7.4,Red Hat Enterprise Linux Server release 7.4,C/C++: Version 18.0.0.128 of Intel C/C++,Yes,xfs,32,cpu2017-20180810-08309.csv,4.765023,372.506069,7.725577,515.430764,9.356976,504.543367,5.261041,310.014707,7.446372,190.294007,8.767885,201.18876,4.083846,350.894681,3.264877,522.531239,10.182631,288.726938,18.124597,341.083451
Intel,Lenovo Global Technology,Xeon Gold 6242,Lenovo Global Technology,2800,3900,x86_64,64,2,16,2,2,32,32,1024.0,22528.0,395878324,12,33554432.0,2933,960.0,SLES,12.4,SUSE Linux Enterprise Server 12 SP4 (x86_64),C/C++: Version 19.0.4.227 of Intel,Yes,xfs,64,cpu2017-20190624-15486.csv,6.814707,260.466066,9.752079,408.323186,12.454283,379.066385,7.26119,224.618821,12.40921,114.189378,14.181946,124.383496,5.44346,263.251685,4.745522,359.496805,16.609088,177.011521,23.67342,261.136752
Intel,Lenovo Global Technology,Xeon Platinum 8280L,Lenovo Global Technology,2700,4000,x86_64,112,1,28,4,4,32,32,1024.0,39424.0,1584784920,48,33554432.0,2933,800.0,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.1.144 of Intel C/C++,Yes,xfs,112,cpu2017-20190415-12055.csv,6.890026,257.618756,10.102855,394.146028,12.946845,364.644825,9.372322,174.023035,12.643058,112.077313,14.741169,119.664865,5.534792,258.907654,4.889273,348.927136,14.424891,203.814364,25.639976,241.107868
Intel,NEC Corporation,Xeon Bronze 3104,NEC Corporation,1700,1700,x86_64,6,1,6,1,1,32,32,1024.0,8448.0,196476496,6,33554432.0,2666,1024.0,RHEL,7.4,Red Hat Enterprise Linux Server release 7.4,C/C++: Version 18.0.0.128 of Intel C/C++,Yes,ext4,6,cpu2017-20180809-08222.csv,2.816262,630.268064,4.612732,863.26278,5.951945,793.1861,3.031529,538.012334,4.464464,317.395319,5.441192,324.193661,2.551276,561.679812,1.987922,858.182746,6.122415,480.202695,5.937221,1041.227926
Intel,Lenovo Global Technology,Xeon Gold 6238T,Lenovo Global Technology,1900,3700,x86_64,88,2,22,2,2,32,32,1024.0,30976.0,197692180,12,16777216.0,2933,960.0,SLES,12.4,SUSE Linux Enterprise Server 12 SP4 (x86_64),C/C++: Version 19.0.1.144 of Intel C/C++,Yes,btrfs,88,cpu2017-20190527-14612.csv,6.456765,274.905482,9.632003,413.413475,12.147598,388.6365,8.230396,198.167873,11.934154,118.734852,13.713629,128.631161,5.208373,275.133897,4.524387,377.067682,13.32279,220.674493,23.06107,268.070827
Intel,Dell Inc.,Xeon Platinum 8158,Dell Inc.,3000,3700,x86_64,48,1,12,4,4,32,32,1024.0,25344.0,791225344,48,16777216.0,2666,900.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2,C/C++: Version 18.0.0.128 of Intel C/C++,Yes,xfs,48,cpu2017-20171030-00247.csv,6.177324,287.341252,9.307633,427.820904,10.827759,436.008964,6.381822,255.569667,9.514204,148.935209,11.74553,150.184789,5.024152,285.222234,4.332407,393.77652,13.361748,220.031087,23.305348,265.261007
AMD,Dell Inc.,EPYC 7502P,Dell Inc.,2500,3350,x86_64,64,2,32,1,8,32,32,512,131072.0,263737712,8,33554432.0,3200,480.0,SLES,15.1,SUSE Linux Enterprise Server 15 SP1,C/C++/Fortran: Version 2.0.0 of AOCC,Yes,xfs,32,cpu2017-20191111-19700.csv,4.56699,388.658645,9.321111,427.20229,14.174257,333.068616,4.723156,345.31997,8.892562,159.346647,12.181854,144.805543,4.689027,305.60708,4.149286,411.155081,15.719159,187.032901,19.569439,315.900729
Intel,Huawei,Xeon Gold 6128,Huawei,3400,3700,x86_64,12,1,6,2,2,32,32,1024.0,19712.0,394117236,24,16777216.0,2666,1200.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2 (x86_64),C/C++: Version 18.0.0.128 of Intel C/C++,Yes,xfs,24,cpu2017-20180127-03127.csv,6.165153,287.908501,9.084082,438.349173,10.949117,431.176325,5.569366,292.852023,9.554487,148.307283,11.389366,154.881315,5.148719,278.321666,4.312361,395.606923,13.434864,218.833623,14.606928,423.22383
Intel,Dell Inc.,Xeon Silver 4208,Dell Inc.,2100,3200,x86_64,32,2,8,2,2,32,32,1024.0,11264.0,197484452,12,16777216.0,2933,480.0,Ubuntu,18.04,Ubuntu 18.04.2 LTS,C/C++: Version 19.0.1.144 of Intel C/C++,Yes,ext4,32,cpu2017-20190513-13631.csv,5.199033,341.409627,7.420221,536.641693,10.025473,470.900473,4.87772,334.377557,10.199247,138.931822,11.123738,158.57978,4.513262,317.508689,3.850647,443.042471,11.323516,259.636662,15.475527,399.469423
AMD,Lenovo Global Technology,EPYC 7502P,Lenovo Global Technology,2500,3350,x86_64,32,1,32,1,4,32,32,512,131072.0,263948896,8,33554432.0,3200,960.0,RHEL,8.0,Red Hat Enterprise Linux release 8.0,C/C++/Fortran: Version 2.0.0 of AOCC,Yes,xfs,32,cpu2017-20190916-18049.csv,4.783149,371.094418,9.64578,412.823011,15.054766,313.588395,5.057738,322.476167,9.340703,151.701643,12.482685,141.315746,4.879758,293.662097,4.231017,403.212797,15.984738,183.925437,20.310911,304.368425
Intel,Dell Inc.,Xeon Gold 6254,Dell Inc.,3100,4000,x86_64,36,1,18,2,2,32,32,1024.0,25344.0,394675928,12,33554432.0,2933,480.0,Ubuntu,18.04,Ubuntu 18.04.2 LTS,C/C++: Version 19.0.4.227 of Intel C/C++,Yes,ext4,36,cpu2017-20190916-17972.csv,6.778667,261.850883,9.477192,420.166629,12.235684,385.838678,7.785637,209.488316,12.700819,111.567609,14.323243,123.156468,5.601343,255.831493,4.893774,348.606238,17.105535,171.87419,21.518785,287.283881
Intel,Dell Inc.,Xeon Gold 5120,Dell Inc.,2200,3200,x86_64,56,1,14,4,4,32,32,1024.0,19712.0,791251968,24,33554432.0,2666,960.0,SLES,12.3,SUSE Linux Enterprise Server 12 SP3,C/C++: Version 18.0.0.128 of Intel C/C++,Yes,xfs,56,cpu2017-20180820-08538.csv,5.369268,330.585098,7.831595,508.45323,9.335394,505.709783,5.201854,313.542047,8.282375,171.086188,9.840428,179.260495,4.402142,325.52338,3.725348,457.943791,11.591629,253.631295,20.122017,307.225666
Intel,Huawei,Xeon Gold 5217,Huawei,3000,3700,x86_64,16,1,8,2,2,32,32,1024.0,11264.0,394433308,24,16777216.0,2933,1200.0,SLES,12.4,SUSE Linux Enterprise Server 12 SP4 (x86_64),C/C++: Version 19.0.1.144 of Intel C/C++,Yes,xfs,16,cpu2017-20190428-12617.csv,6.167184,287.813679,8.823652,451.287085,12.018355,392.815814,5.406023,301.700537,11.7933,120.152969,13.147845,134.166472,5.250254,272.939158,4.538163,375.923026,13.346937,220.275262,19.203516,321.920223
Intel,Lenovo Global Technology,Xeon Platinum 8180M,Lenovo Global Technology,2500,3800,x86_64,112,1,28,4,4,32,32,1024.0,39424.0,792262420,48,16777216.0,2666,800.0,SLES,12.3,SUSE Linux Enterprise Server 12 SP3 (x86_64),C/C++: Version 18.0.0.128 of Intel C/C++,Yes,xfs,112,cpu2017-20180821-08640.csv,6.373903,278.479295,9.537874,417.493459,11.269543,418.916734,7.569316,215.475208,9.58626,147.815727,12.154726,145.128733,5.06381,282.9885,4.450337,383.341719,13.716011,214.34804,24.850663,248.766002
Intel,Dell Inc.,Xeon Gold 6152,Dell Inc.,2100,3700,x86_64,44,1,22,2,2,32,32,1024.0,30976.0,196640884,12,16777216.0,2666,250.0,SLES,12.3,SUSE Linux Enterprise Server 12 SP3,C/C++: Version 18.0.2.20180210 of Intel C/C++,Yes,xfs,44,cpu2017-20181210-10180.csv,6.281428,282.579078,9.523397,418.1281,10.946756,431.269331,7.020496,232.319771,9.542306,148.496598,11.629836,151.678835,5.104035,280.758247,4.345677,392.574044,13.222367,222.35051,22.113567,279.556888
Intel,Huawei,Xeon Gold 6142,Huawei,2600,3700,x86_64,32,1,16,2,2,32,32,1024.0,22528.0,394174888,12,33554432.0,2666,1800.0,RHEL,7.4,Red Hat Enterprise Linux Server release 7.4,C/C++: Version 18.0.2.199 of Intel C/C++,Yes,xfs,32,cpu2017-20181025-09289.csv,6.2302,284.902586,9.62886,413.548435,11.437427,412.767663,6.324946,257.867801,9.494653,149.241899,11.126462,158.540956,5.287153,271.034311,4.318065,395.084407,13.429767,218.916679,22.327657,276.876336
Intel,Supermicro,Xeon Platinum 8280,Supermicro,2700,4000,x86_64,56,1,28,2,2,32,32,1024.0,39424.0,394555716,12,33554432.0,2933,2048.0,SLES,12.4,SUSE Linux Enterprise Server 12 SP4 (x86_64),C/C++: Version 19.0.1.144 of Intel C/C++,Yes,btrfs,56,cpu2017-20190430-13453.csv,6.898563,257.299956,10.278263,387.419552,13.00139,363.115024,9.283161,175.694463,12.789852,110.790964,14.711192,119.908707,5.54936,258.227973,4.890972,348.805913,14.456934,203.362624,24.600557,251.295123
Intel,Lenovo Global Technology,Xeon Gold 5215M,Lenovo Global Technology,2500,3400,x86_64,80,2,10,4,4,32,32,1024.0,14080.0,1584960420,48,33554432.0,2933,960.0,RHEL,7.6,Red Hat Enterprise Linux Server release 7.6,C/C++: Version 19.0.1.144 of Intel C/C++,Yes,xfs,80,cpu2017-20190514-13973.csv,5.853817,303.22096,8.538495,466.35855,11.184167,422.114572,5.41701,301.088629,10.96012,129.286904,11.733108,150.343798,4.752356,301.534665,4.153523,410.735703,12.24727,240.053505,21.369043,289.296993
Intel,Lenovo Global Technology,Xeon E-2186G,Lenovo Global Technology,3800,4700,x86_64,12,2,6,1,1,32,32,256,12288.0,65807636,4,16777216.0,2666,480.0,RHEL,7.5,Red Hat Enterprise Linux Server release 7.5,C/C++: Version 18.0.2.199 of Intel C/C++,Yes,xfs,12,cpu2017-20181016-09246.csv,7.553219,234.999129,12.124253,328.432609,15.153665,311.541794,6.809465,239.519553,12.064129,117.45564,14.260422,123.699001,6.739696,212.620878,5.457504,312.597091,16.956145,173.388469,13.951285,443.113302
Intel,Lenovo Global Technology,Xeon Platinum 8256,Lenovo Global Technology,3800,3900,x86_64,32,2,4,4,4,32,32,1024.0,16896.0,1584960420,48,33554432.0,2933,960.0,RHEL,7.6,Red Hat Enterprise Linux Server release 7.6,C/C++: Version 19.0.1.144 of Intel C/C++,Yes,xfs,32,cpu2017-20190527-14744.csv,6.672196,266.029357,9.253443,430.326294,12.373001,381.556578,6.03288,270.351786,12.390577,114.361098,14.032356,125.70947,5.392428,265.743024,4.761339,358.302591,14.066164,209.012209,22.224731,278.158593
AMD,Dell Inc.,EPYC 7282,Dell Inc.,2800,3200,x86_64,32,2,16,1,4,32,32,512,65536.0,263598316,8,33554432.0,3200,960.0,SLES,15.1,SUSE Linux Enterprise Server 15 SP1,C/C++/Fortran: Version 2.0.0 of AOCC,Yes,xfs,16,cpu2017-20200119-20567.csv,4.519922,392.70586,8.303547,479.55412,13.56956,347.91105,4.312113,378.236883,8.694872,162.969626,11.683436,150.982985,4.504875,318.09981,4.03231,423.082534,15.790447,186.188525,17.226725,358.861017
Intel,Lenovo Global Technology,Xeon Gold 5215L,Lenovo Global Technology,2500,3400,x86_64,80,2,10,4,4,32,32,1024.0,14080.0,1584955332,48,33554432.0,2666,800.0,SLES,12.4,SUSE Linux Enterprise Server 12 SP4 (x86_64),C/C++: Version 19.0.1.144 of Intel C/C++,Yes,tmpfs,80,cpu2017-20190514-14111.csv,5.823966,304.775157,8.471027,470.072873,11.228379,420.4525,5.583864,292.091645,10.943627,129.48175,11.755709,150.054752,4.753818,301.441943,4.15754,410.338835,12.273125,239.547797,21.496221,287.585434
Intel,Lenovo Global Technology,Xeon Gold 6142,Lenovo Global Technology,2600,3700,x86_64,32,1,16,2,2,32,32,1024.0,22528.0,395882808,24,16777216.0,2666,800.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2 (x86_64),C/C++: Version 18.0.0.128 of Intel C/C++,Yes,btrfs,32,cpu2017-20180122-02727.csv,6.204814,286.068202,9.277704,429.201035,10.838174,435.589985,6.02397,270.751677,9.461978,149.757278,11.708417,150.660844,5.078775,282.154668,4.333058,393.717315,13.362874,220.012545,21.986897,281.167467
Intel,Huawei,Xeon Silver 4210,Huawei,2200,3200,x86_64,20,1,10,2,2,32,32,1024.0,14080.0,394430504,24,16777216.0,2933,1200.0,SLES,12.4,SUSE Linux Enterprise Server 12 SP4 (x86_64),C/C++: Version 19.0.1.144 of Intel C/C++,Yes,xfs,20,cpu2017-20190425-12289.csv,5.443919,326.051885,7.897694,504.197777,10.493344,449.904263,5.177287,315.029836,10.203125,138.879016,11.37436,155.085647,4.571608,313.456473,3.917025,435.534603,11.539235,254.782926,17.779842,347.697131
Intel,Lenovo Global Technology,Xeon Gold 5120T,Lenovo Global Technology,2200,3200,x86_64,56,1,14,4,4,32,32,1024.0,19712.0,1584976532,48,33554432.0,2666,800.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2 (x86_64),C/C++: Version 18.0.0.128 of Intel C/C++,Yes,xfs,56,cpu2017-20171212-01631.csv,5.373152,330.346158,8.084651,492.53827,9.783379,482.553121,5.258534,310.162485,8.247173,171.816458,10.127757,174.174795,4.377626,327.346366,3.749772,454.960942,11.556374,254.405048,20.472591,301.964703
Intel,Hewlett Packard Enterprise,Xeon Gold 6246,HPE,3300,4200,x86_64,48,1,12,4,4,32,32,1024.0,25344.0,792258424,24,33554432.0,2933,400.0,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.2.187 of Intel C/C++,Yes,btrfs,48,cpu2017-20190819-16810.csv,7.255906,244.62832,9.301773,428.090423,12.786618,369.214117,8.362296,195.042125,13.101537,108.155252,15.127283,116.610497,5.776351,248.08048,5.119264,333.250999,15.103399,194.658172,25.374258,243.632742
Intel,Cisco Systems,Xeon Gold 5215,Cisco Systems,2500,3400,x86_64,20,1,10,2,2,32,32,1024.0,14080.0,791208996,24,33554432.0,2933,1945.6,SLES,15,SUSE Linux Enterprise Server 15,C/C++: Version 19.0.4.227 of Intel C/C++,Yes,xfs,20,cpu2017-20190819-16781.csv,5.91256,300.208366,8.149945,488.59225,11.154255,423.246561,5.488779,297.151714,10.847296,130.631639,11.851265,148.844876,4.897659,292.588779,4.171367,408.978602,14.442876,203.560566,18.909271,326.92958
Intel,NEC Corporation,Core i3-7300,NEC Corporation,4000,4000,x86_64,2,1,2,1,1,32,32,256,4096.0,65920728,4,16777216.0,2400,1024.0,RHEL,7.4,Red Hat Enterprise Linux Server release 7.4,C/C++: Version 18.0.2.199 of Intel C/C++,Yes,ext4,2,cpu2017-20181126-09855.csv,6.100004,290.983395,10.217969,389.70561,13.235563,356.690519,5.506739,296.182561,9.821667,144.272858,12.35577,142.767312,5.858403,244.605905,4.657005,366.329883,14.511925,202.59201,5.027051,1229.746806
AMD,Dell Inc.,EPYC 7302P,Dell Inc.,3000,3300,x86_64,32,2,16,1,8,32,32,512,131072.0,263743948,8,33554432.0,3200,960.0,SLES,15.1,SUSE Linux Enterprise Server 15 SP1,C/C++/Fortran: Version 2.0.0 of AOCC,Yes,xfs,16,cpu2017-20191014-19057.csv,4.542746,390.732807,9.236283,431.1258,14.392804,328.011137,4.717934,345.7022,8.797851,161.062062,12.033807,146.58703,4.673996,306.589903,4.070642,419.098503,15.305407,192.088978,18.968112,325.915414
Intel,Dell Inc.,Xeon Silver 4110,Dell Inc.,2100,3000,x86_64,32,2,8,2,2,32,32,1024.0,11264.0,196687636,12,16777216.0,2666,960.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2 (x86_64),C/C++: Version 18.0.0.128 of Intel C/C++,Yes,btrfs,32,cpu2017-20180122-02883.csv,4.79768,369.970497,2.265215,1757.890309,6.460893,730.703927,3.935772,414.404092,6.346927,223.257633,8.851318,199.292352,4.238602,338.083138,3.471789,491.389298,10.88404,270.120284,15.390143,401.685679
Intel,Hewlett Packard Enterprise,Xeon Platinum 8260Y,HPE,2400,3900,x86_64,48,1,24,2,2,32,32,1024.0,36608.0,791984032,24,33554432.0,2933,960.0,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.1.144 of Intel C/C++,Yes,xfs,48,cpu2017-20190819-17073.csv,6.751165,262.91759,9.408045,423.254761,12.472165,378.522898,9.007007,181.081248,12.311732,115.093469,14.306816,123.297874,5.421888,264.299093,4.761932,358.257966,14.072037,208.924983,23.254776,265.83787
Intel,Dell Inc.,Xeon E-2186G,Dell Inc.,3800,4700,x86_64,12,2,6,1,1,32,32,256,12288.0,65818632,4,16777216.0,2666,960.0,SLES,12.3,SUSE Linux Enterprise Server 12 SP3,C/C++: Version 18.0.2.20180210 of Intel C/C++,Yes,xfs,12,cpu2017-20181210-10199.csv,7.53199,235.661489,12.297369,323.809113,15.285494,308.854924,7.095182,229.874285,12.239546,115.772268,14.338005,123.029671,6.836218,209.618822,5.410061,315.338421,17.058548,172.347607,13.87168,445.656183
Intel,Huawei,Xeon Platinum 8156,Huawei,3600,3700,x86_64,8,1,4,2,2,32,32,1024.0,16896.0,790510856,24,33554432.0,2666,1200.0,RHEL,7.4,Red Hat Enterprise Linux Server release 7.4,C/C++: Version 18.0.0.128 of Intel C/C++,Yes,xfs,8,cpu2017-20180809-08282.csv,6.101325,290.920411,9.335576,426.540382,11.412718,413.661333,5.402756,301.882938,9.467566,149.668882,11.422965,154.425762,5.206766,275.218805,4.308935,395.921534,13.464358,218.354259,13.864512,445.886594
Intel,Hewlett Packard Enterprise,Xeon E-2276G,HPE,3800,4900,x86_64,6,1,6,1,1,32,32,256,12288.0,65808100,4,16777216.0,2666,400.0,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.4.227 of Intel C/C++,Yes,xfs,6,cpu2017-20191014-19091.csv,7.397388,239.949546,11.721362,339.721621,15.11627,312.312492,7.166218,227.595642,14.384927,98.505887,16.704129,105.60263,6.387949,224.32864,5.316991,320.858191,19.381053,151.694544,11.404428,542.070132
Intel,Supermicro,Xeon E-2124G,Supermicro,3400,4500,x86_64,4,1,4,1,1,32,32,256,8192.0,32860132,2,16777216.0,2666,512.0,SLES,12.3,SUSE Linux Enterprise Server 12 SP3 (x86_64),C/C++: Version 18.0.2.199 of Intel C/C++,Yes,xfs,4,cpu2017-20181112-09568.csv,7.088104,250.419572,11.312439,352.001895,14.421029,327.369142,6.59386,247.35134,11.420284,124.077472,13.766113,128.140747,5.93463,241.464078,5.20367,327.845557,16.243007,181.000974,8.151626,758.376292
Intel,Hewlett Packard Enterprise,Xeon E-2186G,HPE,3800,4700,x86_64,6,1,6,1,1,32,32,256,12288.0,65654876,4,16777216.0,2666,480.0,RHEL,7.5,Red Hat Enterprise Linux Server release 7.5,C/C++: Version 18.0.2.199 of Intel C/C++,Yes,xfs,6,cpu2017-20181015-09173.csv,7.504656,236.519822,12.234836,325.4641,15.39146,306.72854,6.839623,238.463424,12.076099,117.339219,14.356788,122.868709,6.724235,213.109732,5.425858,314.420329,16.955116,173.398987,11.816102,523.184358
AMD,Hewlett Packard Enterprise,EPYC 7F32,HPE,3700,3900,x86_64,16,1,8,2,8,32,32,512,131072.0,1056594112,16,67108864.0,3200,800.0,SLES,15.1,SUSE Linux Enterprise Server 15 (x86_64) SP1,C/C++/Fortran: Version 2.0.0 of AOCC,Yes,btrfs,16,cpu2017-20200330-21613.csv,5.449522,325.716658,10.762429,369.990823,16.684054,282.964794,3.419297,476.998627,10.725832,132.110962,14.449807,122.077753,5.50939,260.101406,4.819161,354.003524,18.902101,155.538268,22.956348,269.293704
Intel,Lenovo Global Technology,Xeon Gold 6146,Lenovo Global Technology,3200,4200,x86_64,36,1,12,3,3,32,32,1024.0,25344.0,1188251012,36,33554432.0,2666,800.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2 (x86_64),C/C++: Version 18.0.2.199 of Intel C/C++,Yes,xfs,36,cpu2017-20180820-08571.csv,7.060394,251.40241,10.131639,393.026242,11.818234,399.467472,7.038595,231.722391,10.596172,133.727543,11.931827,147.839892,5.643254,253.931511,4.952751,344.455029,15.088024,194.85653,23.962657,257.98475
Intel,NEC Corporation,Xeon Gold 6142,NEC Corporation,2600,3700,x86_64,32,1,16,2,2,32,32,1024.0,22528.0,197748628,24,8388608.0,2666,1024.0,RHEL,7.4,Red Hat Enterprise Linux Server release 7.4,C/C++: Version 18.0.2.199 of Intel C/C++,Yes,ext4,32,cpu2017-20180917-08893.csv,6.258274,283.624525,9.02909,441.018965,11.179782,422.280154,6.324849,257.871782,9.319758,152.042569,11.525367,153.053695,5.116074,280.097596,4.35367,391.853292,13.219976,222.390716,21.373569,289.235743
Intel,NEC Corporation,Xeon E3-1220 v6,NEC Corporation,3000,3500,x86_64,4,1,4,1,1,32,32,256,8192.0,65915028,4,16777216.0,2400,1024.0,RHEL,7.4,Red Hat Enterprise Linux Server release 7.4,C/C++: Version 18.0.2.199 of Intel C/C++,Yes,ext4,4,cpu2017-20181112-09505.csv,5.559369,319.280864,9.394165,423.88016,11.876454,397.509238,5.531037,294.88141,9.096219,155.779007,10.798924,163.349612,5.171698,277.085018,4.076297,418.517143,12.67354,231.979384,7.681905,804.748249
Intel,ASUSTeK Computer Inc.,Xeon E-2246G,ASUSTeK Computer Inc.,3600,4800,x86_64,12,2,6,1,1,32,32,256,12288.0,65580920,4,16777216.0,2666,1024.0,SLES,15,SUSE Linux Enterprise Server 15,C/C++: Version 19.0.4.227 of Intel C/C++,Yes,xfs,12,cpu2017-20200106-20511.csv,8.118355,218.640345,12.91981,308.208864,16.771127,281.495684,8.374075,194.767779,15.654611,90.516463,18.160497,97.133903,7.006757,204.516855,5.789367,294.67816,21.087955,139.416078,14.634484,422.426906
Intel,Lenovo Global Technology,Xeon Bronze 3104,Lenovo Global Technology,1700,1700,x86_64,12,1,6,2,2,32,32,1024.0,8448.0,395893876,24,16777216.0,2666,800.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2 (x86_64),C/C++: Version 18.0.0.128 of Intel C/C++,Yes,btrfs,12,cpu2017-20180122-02744.csv,2.816615,630.189142,4.62265,861.410716,5.851112,806.855126,2.929972,556.660554,4.443536,318.890191,5.406972,326.245476,2.517696,569.1711,1.992699,856.125326,6.139775,478.844901,8.333821,741.796571
Intel,Huawei,Xeon Platinum 8158,Huawei,3000,3700,x86_64,24,1,12,2,2,32,32,1024.0,25344.0,394149468,24,16777216.0,2666,1200.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2 (x86_64),C/C++: Version 18.0.0.128 of Intel C/C++,Yes,xfs,24,cpu2017-20180618-07055.csv,6.229344,284.941702,9.772714,407.461008,11.566137,408.174316,6.385865,255.40784,9.566071,148.127696,11.530926,152.979914,5.202681,275.43492,4.300133,396.731894,13.444715,218.673293,21.81696,283.357538
Intel,NEC Corporation,Pentium Gold G5420,NEC Corporation,3800,3800,x86_64,4,2,2,1,1,32,32,256,4096.0,65880068,4,16777216.0,2666,2048.0,RHEL,7.7,Red Hat Enterprise Linux Server release 7.7,C/C++: Version 19.0.0.117 of Intel C/C++,Yes,ext4,4,cpu2017-20191111-19578.csv,5.785841,306.783423,9.807741,406.005841,10.892027,433.4363,4.775588,341.528626,8.9124,158.99197,9.655128,182.700841,5.255021,272.691563,4.44641,383.680286,9.181739,320.200775,6.766102,913.672295
Intel,ASUSTeK Computer Inc.,Xeon Platinum 8256,ASUSTeK Computer Inc.,3800,3900,x86_64,16,2,4,2,2,32,32,1024.0,16896.0,791117368,24,33554432.0,2933,1024.0,SLES,15,SUSE Linux Enterprise Server 15,C/C++: Version 19.0.4.227 of Intel C/C++,Yes,xfs,16,cpu2017-20190916-18260.csv,6.91438,256.71141,10.07515,395.22976,13.15872,358.77356,6.88818,236.78241,12.66695,111.86588,14.57358,121.04097,5.66065,253.1511,4.87702,349.80345,17.04957,172.43836,19.32896,319.83099
Intel,Sugon,Xeon Gold 6132,Sugon,2600,3700,x86_64,28,1,14,2,2,32,32,1024.0,19712.0,394873700,24,16777216.0,2667,4096.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2,C/C++: Version 18.0.0.128 of Intel C/C++,Yes,xfs,28,cpu2017-20171212-01661.csv,6.124713,289.809488,9.18535,433.516437,10.829345,435.945101,5.614858,290.47929,9.41242,150.545769,11.674392,151.099948,5.087866,281.650507,4.336386,393.415142,13.368311,219.923064,21.271275,290.62668
Intel,Huawei,Xeon Gold 6152,Huawei,2100,3700,x86_64,88,1,22,4,4,32,32,1024.0,30976.0,1583346560,48,33554432.0,2666,1200.0,RHEL,7.3,Red Hat Enterprise Linux Server release 7.3,C/C++: Version 18.0.0.128 of Intel C/C++,Yes,xfs,88,cpu2017-20180528-06071.csv,6.218911,285.419752,9.522719,418.15788,11.207045,421.252897,6.813229,239.387239,9.54531,148.449862,11.519883,153.126556,5.081475,282.00471,4.312536,395.590893,13.460632,218.414701,23.993877,257.649062
