vendor,hardware_vendor,model_name,test_sponsor,nominal_mhz,max_mhz,arch,cpus,threads_per_core,cores_per_socket,sockets,numas,l1d_cache_kb,l1i_cache_kb,l2_cache_kb,l3_cache_kb,mem_kb,mem_channels,channel_kb,mem_data_rate,storage_gb,os_name,os_vid,os,compiler,parallel,file_system,threads_or_copies,file,500.perlbench_r,t_500.perlbench_r,502.gcc_r,t_502.gcc_r,505.mcf_r,t_505.mcf_r,520.omnetpp_r,t_520.omnetpp_r,523.xalancbmk_r,t_523.xalancbmk_r,525.x264_r,t_525.x264_r,531.deepsjeng_r,t_531.deepsjeng_r,541.leela_r,t_541.leela_r,548.exchange2_r,t_548.exchange2_r,557.xz_r,t_557.xz_r
Intel,Huawei,Xeon Gold 5115,Huawei,2400,3200,x86_64,40,2,10,2,2,32,32,1024.0,14080.0,395141652,12,33554432.0,2666,1200.0,RHEL,7.3,Red Hat Enterprise Linux Server release 7.3,C/C++: Version 18.0.0.128 of Intel C/C++,No,xfs,40,cpu2017-20180607-06664.csv,77.99432,816.469538,85.88064,659.520132,127.51488,506.921259,64.94416,808.079045,101.52064,416.072977,194.81176,359.526562,90.10392,508.745829,82.62328,801.710978,195.18588,536.924071,75.38256,573.076828
AMD,Lenovo Global Technology,EPYC 7352,Lenovo Global Technology,2300,3200,x86_64,96,2,24,2,8,32,32,512,131072.0,1056699044,32,33554432.0,3200,960.0,SLES,12.5,SUSE Linux Enterprise Server 12 SP5 (x86_64),C/C++/Fortran: Version 2.0.0 of AOCC,No,xfs,96,cpu2017-20200608-22792.csv,247.917024,616.464319,295.296864,460.336787,483.909504,320.588871,171.490368,734.455278,305.012448,332.366732,704.446656,238.621321,295.629312,372.141727,281.295744,565.156149,805.810272,312.133023,205.859904,503.643604
Intel,Fujitsu,Xeon Gold 6234,Fujitsu,3300,4000,x86_64,32,2,8,2,4,32,32,1024.0,25344.0,791157536,24,33554432.0,2933,150.0,SLES,15,SUSE Linux Enterprise Server 15,C/C++: Version 19.0.4.227 of Intel C/C++,No,xfs,32,cpu2017-20191125-20145.csv,90.348224,563.862762,105.480352,429.57767,163.6992,315.896476,77.94352,538.646377,155.116864,217.848653,258.50576,216.753389,102.980832,356.105101,95.978912,552.121249,240.12944,349.145036,77.748608,444.509633
Intel,Fujitsu,Xeon D-1521,Fujitsu,2400,2700,x86_64,8,2,4,1,1,32,32,256,6144.0,131746904,4,33554432.0,2400,1024.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2,C/C++: Version 18.0.1.163 of Intel C/C++,No,xfs,8,cpu2017-20180626-07381.csv,13.83812,920.356338,16.045296,706.001367,23.747352,544.397462,12.888672,814.358442,17.408304,485.285631,35.737256,391.971928,17.322704,529.247727,16.241632,815.681571,35.88304,584.119976,14.158368,610.239749
AMD,Lenovo Global Technology,EPYC 7H12,Lenovo Global Technology,2600,3300,x86_64,256,2,64,2,8,32,32,512,262144.0,1056661152,32,33554432.0,3200,960.0,SLES,12.5,SUSE Linux Enterprise Server 12 SP5 (x86_64),C/C++/Fortran: Version 2.0.0 of AOCC,No,xfs,256,cpu2017-20200413-22010.csv,605.265152,673.344542,518.396416,699.264008,648.36224,638.063141,319.463168,1051.363592,591.88736,456.735628,1653.96352,271.019273,728.51328,402.705128,736.911104,575.287816,2029.485824,330.48764,471.20896,586.746059
Intel,Lenovo Global Technology,Xeon Gold 5115,Lenovo Global Technology,2400,3200,x86_64,80,2,10,4,4,32,32,1024.0,14080.0,1584767344,48,33554432.0,2666,800.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2 (x86_64),C/C++: Version 18.0.0.128 of Intel C/C++,No,tmpfs,80,cpu2017-20171212-01692.csv,153.1944,831.362026,167.37768,676.792764,249.09184,519.005339,126.09456,832.391403,198.68032,425.205703,395.58688,354.106799,179.94008,509.502983,167.88584,789.107824,394.05216,531.909332,148.24968,582.800707
Intel,Supermicro,Xeon E-2134,Supermicro,3500,4500,x86_64,8,2,4,1,1,32,32,256,8192.0,65690984,4,16777216.0,2666,2048.0,SLES,12.3,SUSE Linux Enterprise Server 12 SP3,C/C++: Version 18.0.2.199 of Intel C/C++,No,xfs,8,cpu2017-20181112-09623.csv,24.315928,523.77187,28.097728,403.164307,35.671128,362.421928,16.747112,626.735024,28.700368,294.351595,62.441112,224.339384,27.668952,331.346154,24.782472,534.571368,58.83916,356.225344,18.619312,464.034312
Intel,Dell Inc.,Xeon Silver 4214R,Dell Inc.,2400,3500,x86_64,48,2,12,2,4,32,32,1024.0,16896.0,394673428,24,16777216.0,2933,960.0,Ubuntu,18.04,Ubuntu 18.04.2 LTS,C/C++: Version 19.0.4.227 of Intel C/C++,No,ext4,48,cpu2017-20200203-20779.csv,105.508656,724.262778,116.83848,581.726205,191.219424,405.649129,96.873408,650.085669,166.824,303.841202,287.659104,292.179175,119.853024,458.96206,108.779424,730.72631,276.085776,455.510583,93.553872,554.119185
Intel,Hewlett Packard Enterprise,Xeon Silver 4110,HPE,2100,3000,x86_64,32,2,8,2,2,32,32,1024.0,11264.0,197749548,24,8388608.0,2666,600.0,SLES,12.2,SUSE Linux Enterprise Server 12 (x86_64) SP2,C/C++: Version 18.0.0.128 of Intel C/C++,No,xfs,32,cpu2017-20171114-00753.csv,56.292768,904.983072,66.684192,679.501494,90.519104,571.282802,49.723232,844.353642,75.976064,444.771747,136.80192,409.584847,62.74704,584.441981,56.975264,930.087992,134.776928,622.064986,50.210848,688.297665
Intel,Lenovo Global Technology,Xeon Gold 6222V,Lenovo Global Technology,1800,3600,x86_64,80,2,20,2,4,32,32,1024.0,28160.0,197692820,12,16777216.0,2933,960.0,SLES,12.4,SUSE Linux Enterprise Server 12 SP4 (x86_64),C/C++: Version 19.0.4.227 of Intel,No,btrfs,80,cpu2017-20190902-17447.csv,148.71144,856.423787,164.44256,688.872898,255.724,505.54501,131.25464,799.667188,220.4808,383.162662,392.73384,356.679191,158.27144,579.257945,150.17064,882.196224,385.51456,543.688912,131.36664,657.701166
