vendor,hardware_vendor,model_name,test_sponsor,nominal_mhz,max_mhz,arch,cpus,threads_per_core,cores_per_socket,sockets,numas,l1d_cache_kb,l1i_cache_kb,l2_cache_kb,l3_cache_kb,mem_kb,mem_channels,channel_kb,mem_data_rate,storage_gb,os_name,os_vid,os,compiler,parallel,file_system,threads_or_copies,file,603.bwaves_s,t_603.bwaves_s,607.cactuBSSN_s,t_607.cactuBSSN_s,619.lbm_s,t_619.lbm_s,621.wrf_s,t_621.wrf_s,627.cam4_s,t_627.cam4_s,628.pop2_s,t_628.pop2_s,638.imagick_s,t_638.imagick_s,644.nab_s,t_644.nab_s,649.fotonik3d_s,t_649.fotonik3d_s,654.roms_s,t_654.roms_s
Intel,Hewlett Packard Enterprise,Xeon E-2274G,HPE,4000,4900,x86_64,4,1,4,1,1,32,32,256,8192.0,65809500,4,16777216.0,2666,400.0,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.4.227 of Intel C/C++,Yes,xfs,4,cpu2017-20191028-19262.csv,79.835819,738.991608,40.65843,410.001073,16.373671,319.903821,32.006902,413.22337,19.366608,457.643394,31.882746,372.395774,21.033537,685.857066,38.808961,450.205306,17.816592,511.657904,15.524053,1014.232559
Intel,Dell Inc.,Xeon Gold 6130,Dell Inc.,2100,3700,x86_64,64,2,16,2,2,32,32,1024.0,22528.0,196703104,12,16777216.0,2666,1024.0,SLES,12.3,SUSE Linux Enterprise Server 12 SP3 (x86_64),C/C++: Version 18.0.0.128 of Intel C/C++,Yes,btrfs,64,cpu2017-20180305-03869.csv,433.528171,136.088042,122.703892,135.855511,38.728682,135.248601,73.578312,179.754055,82.501226,107.428707,53.185903,223.235846,84.868137,169.981345,180.082155,97.022384,74.865142,121.765615,104.633417,150.477739
Intel,Lenovo Global Technology,Xeon Gold 6130T,Lenovo Global Technology,2100,3700,x86_64,64,1,16,4,4,32,32,1024.0,22528.0,792256608,48,16777216.0,2666,800.0,RHEL,7.4,Red Hat Enterprise Linux Server release 7.4,C/C++: Version 18.0.0.128 of Intel C/C++,Yes,xfs,64,cpu2017-20180122-03018.csv,863.540694,68.321042,174.182262,95.704349,77.23849,67.81593,63.631599,207.852704,108.775285,81.479906,50.220671,236.416594,159.570171,90.405368,282.204123,61.912632,107.951381,84.445423,159.643581,98.625951
AMD,Supermicro,EPYC 7452,Supermicro,2350,3350,x86_64,128,2,32,2,8,32,32,512,131072.0,264016864,16,16777216.0,3200,200.0,Ubuntu,19.04,Ubuntu 19.04,C/C++/Fortran: Version 2.0.0 of AOCC,Yes,ext4,64,cpu2017-20200204-20877.csv,531.392926,111.025189,216.269521,77.079747,46.467406,112.724176,137.093217,96.474503,97.386235,91.008755,53.274428,222.864897,233.72179,61.722957,336.458515,51.929136,74.940653,121.642922,208.640994,75.464556
Intel,Dell Inc.,Xeon Silver 4108,Dell Inc.,1800,3000,x86_64,32,2,8,2,2,32,32,1024.0,11264.0,196705556,12,16777216.0,2666,960.0,SLES,12.3,Suse Linux Enterprise Server 12 SP3,C/C++: Version 18.0.2.20180210 of Intel C/C++,Yes,xfs,32,cpu2017-20180906-08822.csv,302.061873,195.3176,71.311002,233.764771,29.472294,177.726238,49.304868,268.249375,38.793274,228.467438,40.194347,295.389799,36.451406,395.759769,79.552647,219.62814,58.049334,157.03884,57.942211,271.736267
Intel,Huawei,Xeon Platinum 8276M,Huawei,2200,4000,x86_64,56,1,28,2,2,32,32,1024.0,39424.0,394425772,24,16777216.0,2933,1200.0,SLES,12.4,SUSE Linux Enterprise Server 12 SP4 (x86_64),C/C++: Version 19.0.1.144 of Intel C/C++,Yes,xfs,56,cpu2017-20190428-12650.csv,512.719307,115.068809,176.630021,94.378067,103.638704,50.540964,120.829149,109.460342,117.64422,75.337318,55.353147,214.495483,151.099053,95.473795,282.008948,61.955481,90.387066,100.855138,159.044779,98.997277
Intel,Lenovo Global Technology,Xeon Gold 5220,Lenovo Global Technology,2200,3900,x86_64,144,2,18,4,4,32,32,1024.0,25344.0,792235932,48,16777216.0,2666,960.0,RHEL,7.6,Red Hat Enterprise Linux Server release 7.6,C/C++: Version 19.0.1.144 of Intel C/C++,Yes,tmpfs,72,cpu2017-20190514-13979.csv,817.592074,72.16068,176.022535,94.703783,139.407531,37.573293,124.985208,105.820522,127.714213,69.397131,60.061399,197.681044,179.947618,80.167774,294.3956,59.348713,110.801066,82.273577,133.934376,117.557572
Intel,Lenovo Global Technology,Xeon Gold 5218T,Lenovo Global Technology,2100,3800,x86_64,64,1,16,4,4,32,32,1024.0,22528.0,1584961216,48,33554432.0,2933,800.0,SLES,12.4,SUSE Linux Enterprise Server 12 SP4 (x86_64),C/C++: Version 19.0.4.227 of Intel,Yes,tmpfs,64,cpu2017-20190916-18113.csv,816.479472,72.259012,160.163691,104.081018,153.471223,34.130177,121.401882,108.943945,111.182678,79.715655,53.679055,221.184967,153.999981,93.675336,289.45186,60.362369,115.820984,78.707672,285.491545,55.150495
Intel,Huawei,Xeon Platinum 8153,Huawei,2000,2800,x86_64,32,1,16,2,2,32,32,1024.0,22528.0,394169156,24,16777216.0,2666,1200.0,RHEL,7.3,Red Hat Enterprise Linux Server release 7.3,C/C++: Version 18.0.2.199 of Intel C/C++,Yes,xfs,32,cpu2017-20180927-08951.csv,488.131814,120.864894,125.92493,132.380459,44.895783,116.6702,72.159981,183.287189,64.819707,136.733107,59.332482,200.109614,73.64447,195.887078,147.932329,118.108057,79.579213,114.552527,136.080124,115.703892
Intel,Lenovo Global Technology,Xeon Silver 4116T,Lenovo Global Technology,2100,3000,x86_64,24,1,12,2,2,32,32,1024.0,16896.0,395893492,12,33554432.0,2666,800.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2 (x86_64),C/C++: Version 18.0.0.128 of Intel C/C++,Yes,xfs,24,cpu2017-20180513-05482.csv,368.63841,160.043008,94.098239,177.155281,34.668289,151.089084,56.604251,233.657363,41.105076,215.618137,50.729429,234.045609,61.139906,235.950641,109.079849,160.176239,64.670665,140.960357,79.947003,196.942967
Intel,NEC Corporation,Xeon Gold 5120,NEC Corporation,2200,3200,x86_64,28,1,14,2,2,32,32,1024.0,19712.0,197737808,12,16777216.0,2666,1024.0,RHEL,7.4,Red Hat Enterprise Linux Server release 7.4,C/C++: Version 18.0.2.199 of Intel C/C++,Yes,ext4,28,cpu2017-20181210-10040.csv,400.067903,147.469966,112.88249,147.675694,37.352642,140.231044,67.819035,195.018993,59.975257,147.777608,51.775745,229.315871,75.475428,191.135053,148.047096,118.016499,70.880818,128.610253,91.267104,172.515609
Intel,NEC Corporation,Xeon Gold 5218,NEC Corporation,2300,3900,x86_64,32,1,16,2,2,32,32,1024.0,22528.0,395924616,24,16777216.0,2933,1024.0,RHEL,7.7,Red Hat Enterprise Linux Server release 7.7,C/C++: Version 19.0.4.227 of Intel C/C++,Yes,ext4,32,cpu2017-20200608-22589.csv,469.872596,125.561696,126.031456,132.268566,91.573353,57.200046,108.90396,121.446456,70.176071,126.296612,61.310302,193.65424,94.853738,152.086785,168.315895,103.804813,81.794349,111.450242,144.327717,109.092005
Intel,Lenovo Global Technology,Xeon Gold 6230,Lenovo Global Technology,2100,3900,x86_64,80,2,20,2,2,32,32,1024.0,28160.0,395878664,12,33554432.0,2933,480.0,RHEL,7.6,Red Hat Enterprise Linux Server release 7.6,C/C++: Version 19.0.0.117 of Intel C/C++,Yes,btrfs,40,cpu2017-20190318-11239.csv,484.187508,121.849488,142.937923,116.624054,95.402035,54.904489,118.979742,111.161781,88.284736,100.39108,63.843661,185.969911,115.945923,124.420071,212.652808,82.162094,85.494858,106.626296,123.291804,127.705164
Intel,Hewlett Packard Enterprise,Xeon Bronze 3106,HPE,1700,1700,x86_64,16,1,8,2,2,32,32,1024.0,11264.0,197752260,24,8388608.0,2666,600.0,RHEL,7.3,Red Hat Enterprise Linux Server release 7.3,C/C++: Version 18.0.0.128 of Intel C/C++,Yes,xfs,16,cpu2017-20171128-01131.csv,264.567805,222.997655,57.601029,289.404553,29.676537,176.503071,33.186457,398.536069,22.606503,392.05533,31.942113,371.703647,28.833107,500.327622,51.863807,336.882328,51.550021,176.837951,52.988335,297.140873
Intel,NEC Corporation,Xeon Gold 6152,NEC Corporation,2100,3700,x86_64,44,1,22,2,2,32,32,1024.0,30976.0,197746436,24,8388608.0,2666,1024.0,RHEL,7.4,Red Hat Enterprise Linux Server release 7.4,C/C++: Version 18.0.2.199 of Intel C/C++,Yes,ext4,44,cpu2017-20180723-07905.csv,478.689195,123.249074,158.503164,105.171402,45.232999,115.800415,86.787039,152.396027,92.368886,95.952224,62.668461,189.45734,121.543657,118.689863,232.780067,75.057973,83.947721,108.591393,124.302129,126.667179
Intel,Supermicro,Xeon Gold 6226R,Supermicro,2900,3900,x86_64,32,1,16,2,2,32,32,1024.0,22528.0,394879828,12,33554432.0,2933,200.0,RHEL,8.1,Red Hat Enterprise Linux release 8.1,C/C++: Version 19.0.5.281 of Intel,Yes,xfs,32,cpu2017-20200414-22062.csv,494.495695,119.309431,140.281243,118.832708,90.780604,57.69955,121.470986,108.881968,83.739274,105.840421,66.900552,177.472376,102.50224,140.738388,216.983486,80.522257,78.35394,116.343862,150.650763,104.513244
Intel,Dell Inc.,Xeon Gold 6136,Dell Inc.,3000,3700,x86_64,48,2,12,2,2,32,32,1024.0,25344.0,196682072,12,16777216.0,2666,960.0,SLES,12.3,SUSE Linux Enterprise Server 12 SP3 (x86_64),C/C++: Version 18.0.0.128 of Intel C/C++,Yes,btrfs,48,cpu2017-20180205-03330.csv,424.927596,138.842477,118.880203,140.225198,39.715622,131.88765,80.763318,163.762464,85.4107,103.7692,57.905326,205.041587,86.525894,166.724657,180.145613,96.988207,76.252388,119.550355,110.659121,142.283798
Intel,Cisco Systems,Xeon Gold 6246,Cisco Systems,3300,4200,x86_64,24,1,12,2,2,32,32,1024.0,25344.0,791208196,24,33554432.0,2933,1945.6,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.4.227 of Intel C/C++,Yes,xfs,24,cpu2017-20190915-17850.csv,483.598706,121.997845,125.366118,132.970537,93.236646,56.179627,116.290674,113.73225,77.329893,114.612857,66.978335,177.266275,100.688623,143.273387,190.106771,91.906248,83.380313,109.330364,121.672895,129.404334
Intel,Dell Inc.,Xeon Gold 6238,Dell Inc.,2100,3700,x86_64,44,1,22,2,2,32,32,1024.0,30976.0,394674452,12,33554432.0,2933,960.0,Ubuntu,18.04,Ubuntu 18.04.2 LTS,C/C++: Version 19.0.1.144 of Intel C/C++,Yes,ext4,44,cpu2017-20190805-16526.csv,478.584997,123.275908,143.717801,115.991199,93.309753,56.135611,120.313598,109.929386,96.183482,92.146799,64.013525,185.476429,122.506677,117.756847,227.695397,76.734094,80.758773,112.879377,133.186558,118.217636
