vendor,hardware_vendor,model_name,test_sponsor,nominal_mhz,max_mhz,arch,cpus,threads_per_core,cores_per_socket,sockets,numas,l1d_cache_kb,l1i_cache_kb,l2_cache_kb,l3_cache_kb,mem_kb,mem_channels,channel_kb,mem_data_rate,storage_gb,os_name,os_vid,os,compiler,parallel,file_system,threads_or_copies,file,603.bwaves_s,t_603.bwaves_s,607.cactuBSSN_s,t_607.cactuBSSN_s,619.lbm_s,t_619.lbm_s,621.wrf_s,t_621.wrf_s,627.cam4_s,t_627.cam4_s,628.pop2_s,t_628.pop2_s,638.imagick_s,t_638.imagick_s,644.nab_s,t_644.nab_s,649.fotonik3d_s,t_649.fotonik3d_s,654.roms_s,t_654.roms_s
Intel,Hewlett Packard Enterprise,Xeon Gold 5215,HPE,2500,3400,x86_64,20,1,10,2,2,32,32,1024.0,14080.0,395628868,24,16777216.0,2666,960.0,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.2.187 of Intel C/C++,Yes,xfs,20,cpu2017-20190513-13923.csv,356.915201,165.299768,90.498117,184.202727,68.912371,76.009575,70.552922,187.462115,58.967779,150.302422,58.690329,202.299088,65.288051,220.95927,122.059531,143.143267,63.046811,144.590978,69.585613,226.268036
Intel,Cisco Systems,Xeon Platinum 8153,Cisco Systems,2000,2800,x86_64,64,1,16,4,4,32,32,1024.0,22528.0,1583915932,48,33554432.0,2666,1024.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2 (x86_64),C/C++: Version 18.0.2.199 of Intel C/C++,Yes,xfs,64,cpu2017-20181127-09991.csv,850.614464,69.359272,172.443305,96.669453,76.505262,68.465879,66.79252,198.016185,96.871637,91.492208,36.876471,321.966821,135.978655,106.09018,244.369823,71.49819,101.406507,89.895612,232.554523,67.704553
Intel,Huawei,Xeon Platinum 8276L,Huawei,2200,4000,x86_64,56,1,28,2,2,32,32,1024.0,39424.0,394423724,24,16777216.0,2933,1200.0,SLES,12.4,SUSE Linux Enterprise Server 12 SP4 (x86_64),C/C++: Version 19.0.1.144 of Intel C/C++,Yes,xfs,56,cpu2017-20190415-12032.csv,506.391104,116.506786,172.437956,96.672452,103.245386,50.733502,121.132847,109.185909,115.14785,76.970608,55.097294,215.491525,154.306341,93.489353,280.223694,62.350188,89.426987,101.937908,155.118845,101.502819
Intel,Hewlett Packard Enterprise,Xeon Silver 4216,HPE,2100,3200,x86_64,32,1,16,2,2,32,32,1024.0,22528.0,395626568,24,16777216.0,2933,400.0,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.2.187 of Intel C/C++,Yes,xfs,32,cpu2017-20190723-16342.csv,434.776479,135.697313,124.902194,133.464429,85.635856,61.165968,108.801633,121.560676,71.850694,123.353018,63.164569,187.969302,83.413782,172.945041,168.64686,103.601099,71.07618,128.256753,137.928135,114.15365
AMD,Dell Inc.,EPYC 7452,Dell Inc.,2350,3350,x86_64,128,2,32,2,16,32,32,512,131072.0,527961860,16,33554432.0,3200,960.0,SLES,15.1,SUSE Linux Enterprise Server 15 SP1,C/C++/Fortran: Version 2.0.0 of AOCC,Yes,xfs,64,cpu2017-20190930-18851.csv,565.30849,104.364256,230.071442,72.455755,52.500912,99.769695,125.659928,105.252328,103.495128,85.636881,56.584994,209.825947,222.463808,64.846503,309.149919,56.516269,83.347724,109.373112,217.586549,72.36201
Intel,Lenovo Global Technology,Xeon Silver 4210R,Lenovo Global Technology,2400,3200,x86_64,20,1,10,2,2,32,32,1024.0,14080.0,792302664,24,33554432.0,2933,800.0,RHEL,8.1,Red Hat Enterprise Linux 8.1,C/C++: Version 19.0.5.281 of Intel,Yes,xfs,20,cpu2017-20200414-22046.csv,335.565664,175.816558,90.223709,184.762966,71.153257,73.615745,79.323937,166.734033,46.911377,188.930716,54.915068,216.206598,63.331755,227.784623,119.854036,145.777319,65.70162,138.748482,67.086231,234.697937
Intel,NEC Corporation,Xeon Gold 6234,NEC Corporation,3300,4000,x86_64,16,1,8,2,2,32,32,1024.0,25344.0,395926536,24,16777216.0,2933,1024.0,RHEL,7.7,Red Hat Enterprise Linux Server release 7.7,C/C++: Version 19.0.4.227 of Intel C/C++,Yes,ext4,16,cpu2017-20200608-22583.csv,458.819193,128.5866,95.220672,175.067028,80.348089,65.191345,103.714233,127.523481,54.028666,164.042547,63.508254,186.952076,69.580709,207.327579,126.910916,137.671373,82.527854,110.459676,111.040434,141.795195
Intel,Cisco Systems,Xeon Gold 5215,Cisco Systems,2500,3400,x86_64,20,1,10,2,2,32,32,1024.0,14080.0,791179536,24,33554432.0,2933,960.0,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.4.227 of Intel C/C++,Yes,xfs,20,cpu2017-20190903-17720.csv,381.354381,154.706496,97.452909,171.056976,75.035355,69.807093,84.281214,156.927023,52.345319,169.31791,62.598742,189.668347,65.699576,219.575238,122.1393,143.04978,69.115849,131.894495,83.128216,189.406205
Intel,Lenovo Global Technology,Xeon Gold 6238,Lenovo Global Technology,2100,3700,x86_64,176,2,22,4,4,32,32,1024.0,30976.0,1584959312,48,33554432.0,2933,800.0,RHEL,7.6,Red Hat Enterprise Linux Server release 7.6,C/C++: Version 19.0.4.227 of Intel,Yes,tmpfs,88,cpu2017-20190917-18317.csv,881.39137,66.937347,200.896013,82.978252,167.178559,31.331769,131.763805,100.376579,150.43883,58.914311,64.038549,185.403952,192.167966,75.069744,351.628451,49.688812,118.905072,76.6662,285.360999,55.175725
Intel,Cisco Systems,Xeon Gold 5222,Cisco Systems,3800,3900,x86_64,16,1,4,4,4,32,32,1024.0,16896.0,1583902596,48,33554432.0,2933,300.0,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.4.227 of Intel C/C++,Yes,xfs,16,cpu2017-20191029-19403.csv,497.155379,118.671149,87.641942,190.205734,81.300663,64.427519,92.533725,142.931671,50.119235,176.838293,51.550313,230.318679,67.119176,214.931126,121.572996,143.716126,80.634618,113.05318,101.503825,155.117307
Intel,Lenovo Global Technology,Xeon Gold 6138T,Lenovo Global Technology,2000,3700,x86_64,80,1,20,4,4,32,32,1024.0,28160.0,1584975732,48,33554432.0,2666,960.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2 (x86_64),C/C++: Version 18.0.0.128 of Intel C/C++,Yes,xfs,80,cpu2017-20180611-06812.csv,837.332536,70.459462,205.461527,81.134411,79.289573,66.06165,72.123724,183.379328,123.222827,71.926608,47.276981,251.137019,172.475457,83.640886,318.43863,54.867715,113.820275,80.091179,244.375723,64.429477
Intel,Hewlett Packard Enterprise,Xeon Platinum 8280,HPE,2700,4000,x86_64,28,1,28,1,1,32,32,1024.0,39424.0,197720616,6,33554432.0,2933,600.0,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.2.187 of Intel C/C++,Yes,btrfs,28,cpu2017-20190319-11386.csv,278.826668,211.593821,137.816414,120.958016,55.221253,94.854784,114.918808,115.089951,77.843601,113.856501,71.3644,166.371468,97.424223,148.074058,189.851195,92.029971,51.028018,178.646953,75.17738,209.437998
Intel,Cisco Systems,Xeon Gold 6146,Cisco Systems,3200,4200,x86_64,24,1,12,2,2,32,32,1024.0,25344.0,791238728,24,33554432.0,2666,240.0,SLES,12.3,SUSE Linux Enterprise Server 12 SP3 (x86_64),C/C++: Version 19.0.1.144 of Intel C/C++,Yes,xfs,24,cpu2017-20190122-10813.csv,457.78295,128.87767,121.145991,137.602572,89.317251,58.644886,112.356215,117.714895,71.683011,123.64157,66.891502,177.496388,94.111218,153.286721,179.409458,97.38617,81.481049,111.878776,116.265552,135.422743
Intel,Lenovo Global Technology,Xeon Gold 5215,Lenovo Global Technology,2500,3400,x86_64,80,2,10,4,4,32,32,1024.0,14080.0,1584955332,48,33554432.0,2666,800.0,SLES,12.4,SUSE Linux Enterprise Server 12 SP4 (x86_64),C/C++: Version 19.0.1.144 of Intel C/C++,Yes,tmpfs,40,cpu2017-20190514-14101.csv,677.890298,87.031781,128.646144,129.580254,136.405216,38.400291,98.099704,134.822018,85.753712,103.354127,53.215082,223.113438,117.107951,123.185487,207.618508,84.154347,101.148879,90.124578,121.346234,129.752688
Intel,Dell Inc.,Xeon Gold 6208U,Dell Inc.,2900,3900,x86_64,32,2,16,1,2,32,32,1024.0,22528.0,196653716,6,33554432.0,2933,480.0,CentOS,8,CentOS Linux 8.1.1911,C/C++: Version 19.1.1.217 of Intel C/C++,Yes,tmpfs,32,cpu2017-20200525-22505.csv,253.278855,232.936934,100.320383,166.167627,44.262087,118.340556,95.626653,138.30872,64.052657,138.370528,58.825647,201.833734,62.95863,229.134593,134.22287,130.171557,49.490434,184.197213,59.040715,266.680374
Intel,Supermicro,Core i5-9600K,Supermicro,3700,4600,x86_64,6,1,6,1,1,32,32,256,9216.0,65827372,4,16777216.0,2666,200.0,SLES,12.3,SUSE Linux Enterprise Server 12 SP3 (x86_64),C/C++: Version 18.0.2.199 of Intel C/C++,Yes,xfs,6,cpu2017-20190121-10805.csv,79.950426,737.932282,53.371144,312.341067,6.994852,748.836422,35.813567,369.301388,23.599047,375.566009,32.812489,361.84393,29.360813,491.335169,57.660352,303.015841,17.089268,533.434193,15.021864,1048.138915
Intel,Hewlett Packard Enterprise,Xeon Gold 6230N,HPE,2300,3900,x86_64,80,1,20,4,4,32,32,1024.0,28160.0,792251092,24,33554432.0,2933,400.0,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.2.187 of Intel C/C++,Yes,btrfs,80,cpu2017-20190625-15701.csv,851.918973,69.253065,196.765673,84.720062,136.431643,38.392853,137.337579,96.302848,143.529667,61.7503,51.861048,228.938681,202.1887,71.34919,365.364797,47.820699,110.123692,82.779644,244.059148,64.51305
Intel,Lenovo Global Technology,Xeon Bronze 3204,Lenovo Global Technology,1900,1900,x86_64,12,1,6,2,2,32,32,1024.0,8448.0,197698044,12,16777216.0,2933,960.0,SLES,12.4,SUSE Linux Enterprise Server 12 SP4 (x86_64),C/C++: Version 19.0.1.144 of Intel C/C++,Yes,xfs,12,cpu2017-20190513-13799.csv,227.45724,259.38062,47.787939,348.832788,35.320492,148.29918,40.207285,328.945368,19.710367,449.661854,33.584205,353.529287,25.717677,560.937124,46.531744,375.4856,44.742532,203.743499,42.164247,373.420634
Intel,Lenovo Global Technology,Xeon Gold 6238M,Lenovo Global Technology,2100,3700,x86_64,88,1,22,4,4,32,32,1024.0,30976.0,1584949464,48,33554432.0,2933,800.0,SLES,12.4,SUSE Linux Enterprise Server 12 SP4 (x86_64),C/C++: Version 19.0.4.227 of Intel,Yes,btrfs,88,cpu2017-20190903-17641.csv,913.356287,64.594727,188.641208,88.368815,170.672218,30.690408,131.584079,100.51368,146.30496,60.578944,61.818576,192.062011,202.147443,71.363752,373.608422,46.765541,124.077478,73.470223,278.006851,56.635295
Intel,Lenovo Global Technology,Xeon Gold 6240Y,Lenovo Global Technology,2600,3900,x86_64,72,1,18,4,4,32,32,1024.0,25344.0,1584958668,48,33554432.0,2933,800.0,SLES,12.4,SUSE Linux Enterprise Server 12 SP4 (x86_64),C/C++: Version 19.0.4.227 of Intel,Yes,tmpfs,72,cpu2017-20191125-20129.csv,835.402571,70.622239,181.21531,91.99002,172.373356,30.387527,133.992641,98.706913,137.601521,64.410625,60.246529,197.073593,193.42927,74.580233,377.129285,46.32894,121.147045,75.247399,233.606419,67.399689
Intel,Lenovo Global Technology,Xeon Silver 4110,Lenovo Global Technology,2100,3000,x86_64,16,1,8,2,2,32,32,1024.0,11264.0,395894288,12,33554432.0,2666,800.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2 (x86_64),C/C++: Version 18.0.0.128 of Intel C/C++,Yes,btrfs,16,cpu2017-20171113-00555.csv,312.464762,188.814891,71.922756,231.776436,31.238533,167.677529,47.674748,277.421495,24.630514,359.838213,44.99413,263.878867,42.216743,341.712762,77.223387,226.252702,59.425803,153.401376,65.408402,240.718309
Intel,Hewlett Packard Enterprise,Xeon Platinum 8276M,HPE,2200,4000,x86_64,112,2,28,2,2,32,32,1024.0,39424.0,395609956,24,16777216.0,2933,960.0,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.1.144 of Intel C/C++,Yes,btrfs,112,cpu2017-20190805-16561.csv,499.125794,118.202667,168.449312,98.96152,100.778703,51.975267,134.485657,98.34506,138.47032,64.006496,66.42662,178.738584,148.12816,97.38864,310.419063,56.285203,85.073921,107.153872,151.236495,104.108469
Intel,Lenovo Global Technology,Xeon Bronze 3204,Lenovo Global Technology,1900,1900,x86_64,12,1,6,2,2,32,32,1024.0,8448.0,395888708,12,33554432.0,2666,960.0,SLES,12.4,SUSE Linux Enterprise Server 12 SP4 (x86_64),C/C++: Version 19.0.1.144 of Intel C/C++,Yes,xfs,12,cpu2017-20190513-13815.csv,227.049373,259.846567,47.767969,348.978619,35.395385,147.985395,39.977595,330.835307,19.700143,449.895215,33.55076,353.881696,25.671571,561.944572,46.568017,375.193128,44.800415,203.48026,43.067589,365.588144
Intel,ASUSTeK Computer Inc.,Xeon Gold 6138,ASUSTeK Computer Inc.,2000,3700,x86_64,40,1,20,2,2,32,32,1024.0,28160.0,196656068,12,16777216.0,2666,240.0,SLES,12.3,SUSE Linux Enterprise Server 12 (x86_64) SP3,C/C++: Version 18.0.0.128 of Intel C/C++,Yes,btrfs,40,cpu2017-20180622-07224.csv,479.736071,122.980121,151.284566,110.189694,44.088034,118.807747,85.292086,155.067142,82.006164,108.077242,57.795294,205.43195,107.965825,133.616355,203.576622,85.825179,83.666517,108.95637,125.062082,125.897472
Intel,Lenovo Global Technology,Xeon Gold 6136,Lenovo Global Technology,3000,3700,x86_64,48,1,12,4,4,32,32,1024.0,25344.0,1584975104,48,33554432.0,2666,800.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2 (x86_64),C/C++: Version 18.0.0.128 of Intel C/C++,Yes,xfs,48,cpu2017-20180122-03056.csv,836.714021,70.511547,165.06506,100.990482,78.893195,66.393559,74.208498,178.227566,111.722725,79.330324,51.798778,229.213901,74.860878,192.704125,282.775656,61.787497,107.285235,84.969754,153.036614,102.883876
Intel,Huawei,Xeon Silver 4116,Huawei,2100,3000,x86_64,24,1,12,2,2,32,32,1024.0,16896.0,394175068,12,33554432.0,2666,2000.0,RHEL,7.4,Red Hat Enterprise Linux Server release 7.4,C/C++: Version 18.0.0.128 of Intel C/C++,Yes,xfs,24,cpu2017-20180625-07359.csv,369.172641,159.811409,95.912531,173.804192,34.621119,151.294938,56.256519,235.101643,49.18655,180.191537,50.245463,236.299943,60.547,238.261184,106.285537,164.387371,67.215767,135.622941,78.241149,201.236821
Intel,Lenovo Global Technology,Xeon Gold 6142M,Lenovo Global Technology,2600,3700,x86_64,64,1,16,4,4,32,32,1024.0,22528.0,1584766852,48,33554432.0,2666,800.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2 (x86_64),C/C++: Version 18.0.0.128 of Intel C/C++,Yes,btrfs,64,cpu2017-20171212-01713.csv,895.074478,65.914068,203.1127,82.072662,78.960035,66.337357,75.976657,174.079783,122.496687,72.352977,56.729475,209.291555,177.675109,81.19314,330.378745,52.884758,110.710298,82.34103,239.920603,65.625877
Intel,Hewlett Packard Enterprise,Xeon Platinum 8156,HPE,3600,3700,x86_64,8,1,4,2,2,32,32,1024.0,16896.0,197752920,12,16777216.0,2666,480.0,RHEL,7.4,Red Hat Enterprise Linux Server release 7.4,C/C++: Version 18.0.0.128 of Intel C/C++,Yes,xfs,8,cpu2017-20171226-02395.csv,282.582974,208.781156,52.750472,316.016131,31.432325,166.643736,47.547548,278.16366,29.790519,297.51076,43.244977,274.552115,33.046604,436.535018,57.137856,305.786762,60.377784,150.982686,54.669974,288.000866
Intel,Lenovo Global Technology,Xeon Silver 4210,Lenovo Global Technology,2200,3200,x86_64,20,1,10,2,2,32,32,1024.0,14080.0,197401976,12,16777216.0,2933,960.0,SLES,12.4,SUSE Linux Enterprise Server 12 SP4 (x86_64),C/C++: Version 19.0.0.117 of Intel,Yes,btrfs,20,cpu2017-20190429-12860.csv,351.344952,167.920443,89.758334,185.720915,69.056502,75.850931,81.749726,161.786474,46.726424,189.678544,54.809684,216.622305,60.125546,239.931293,113.836944,153.482686,66.434828,137.217183,73.381283,214.564251
Intel,Hewlett Packard Enterprise,Xeon Gold 6134M,HPE,3200,3700,x86_64,16,1,8,2,2,32,32,1024.0,25344.0,197729200,24,8388608.0,2666,400.0,RHEL,7.4,Red Hat Enterprise Linux Server release 7.4,C/C++: Version 18.0.2.199 of Intel C/C++,Yes,xfs,16,cpu2017-20190118-10701.csv,434.444029,135.801153,95.311008,174.901099,43.441127,120.576981,62.950401,210.101919,52.676488,168.253433,60.503832,196.235503,61.452637,234.749892,126.801146,137.790553,80.339369,113.468653,101.933331,154.463706
Intel,Lenovo Global Technology,Xeon Gold 6142M,Lenovo Global Technology,2600,3700,x86_64,64,1,16,4,4,32,32,1024.0,22528.0,1584976776,48,33554432.0,2666,800.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2 (x86_64),C/C++: Version 18.0.0.128 of Intel C/C++,Yes,xfs,64,cpu2017-20180511-05410.csv,869.412549,67.859614,198.750526,83.873992,78.431523,66.784372,76.967944,171.837772,121.742964,72.800922,39.719702,298.919666,178.214893,80.947219,327.083613,53.417534,109.535517,83.224147,244.393805,64.42471
Intel,Dell Inc.,Xeon Silver 4109T,Dell Inc.,2000,3000,x86_64,32,2,8,2,2,32,32,1024.0,11264.0,196682072,12,16777216.0,2666,960.0,SLES,12.3,SUSE Linux Enterprise Server 12 SP3 (x86_64),C/C++: Version 18.0.0.128 of Intel C/C++,Yes,btrfs,32,cpu2017-20180205-03278.csv,307.45775,191.88978,74.796418,222.871634,29.589657,177.021317,52.408873,252.361845,41.498691,213.573,43.788009,271.147292,38.782141,371.97534,83.751262,208.617753,58.499276,155.830989,60.154455,261.742873
Intel,Lenovo Global Technology,Xeon Platinum 8160,Lenovo Global Technology,2100,3700,x86_64,192,1,24,8,8,32,32,1024.0,33792.0,3170210052,96,33554432.0,2666,800.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2 (x86_64),C/C++: Version 18.0.0.128 of Intel C/C++,Yes,btrfs,192,cpu2017-20180108-02515.csv,822.742936,71.708911,216.569452,76.972998,63.921363,81.944435,37.381964,353.806982,162.93195,54.396943,49.400683,240.340808,268.661388,53.695844,470.44665,37.139174,92.745404,98.290585,77.362703,203.521845
Intel,Huawei,Xeon Gold 5118,Huawei,2300,3200,x86_64,24,1,12,2,2,32,32,1024.0,16896.0,790512260,24,33554432.0,2666,1200.0,RHEL,7.4,Red Hat Enterprise Linux Server release 7.4,C/C++: Version 18.0.0.128 of Intel C/C++,Yes,xfs,24,cpu2017-20180802-08081.csv,386.818301,152.521222,105.757932,157.624111,36.251915,144.48892,62.072459,213.073562,53.687828,165.083975,55.261173,214.852477,67.156265,214.812422,119.539505,146.160886,70.729581,128.885253,85.537477,184.071363
Intel,Huawei,Xeon Gold 5215L,Huawei,2500,3400,x86_64,20,1,10,2,2,32,32,1024.0,14080.0,394430504,24,16777216.0,2933,1200.0,SLES,12.4,SUSE Linux Enterprise Server 12 SP4 (x86_64),C/C++: Version 19.0.1.144 of Intel C/C++,Yes,xfs,20,cpu2017-20190427-12471.csv,361.980347,162.986749,96.544851,172.665862,73.907137,70.872722,84.579168,156.374204,52.241742,169.653608,61.374666,193.451154,66.051923,218.403937,119.636294,146.042638,72.610927,125.545843,80.214721,196.285666
Intel,Dell Inc.,Xeon Gold 6248R,Dell Inc.,3000,4000,x86_64,96,2,24,2,4,32,32,1024.0,36608.0,394821696,12,33554432.0,2933,960.0,RHEL,8.1,Red Hat Enterprise Linux 8.1,C/C++: Version 19.0.5.281 of Intel C/C++,Yes,tmpfs,48,cpu2017-20200525-22492.csv,512.644657,115.085565,163.835107,101.748644,97.691557,53.617735,131.445128,100.619933,110.47002,80.229912,66.352055,178.939447,158.210832,91.182126,277.497418,62.962748,80.277854,113.555601,141.386109,111.361718
Intel,Hewlett Packard Enterprise,Xeon Platinum 8280M,HPE,2700,4000,x86_64,112,1,28,4,4,32,32,1024.0,39424.0,792245868,24,33554432.0,2933,400.0,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.2.187 of Intel C/C++,Yes,btrfs,112,cpu2017-20191119-19956.csv,793.501385,74.351477,228.083567,73.087247,167.045991,31.356634,138.289215,95.640141,178.089981,49.766977,52.431141,226.44939,282.498649,51.065731,505.386508,34.57156,102.281797,89.126318,177.357118,88.775687
Intel,Cisco Systems,Xeon Platinum 8268,Cisco Systems,2900,3900,x86_64,96,1,24,4,4,32,32,1024.0,36608.0,1583887508,48,33554432.0,2933,1945.6,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.4.227 of Intel C/C++,Yes,btrfs,96,cpu2017-20200203-20705.csv,928.357337,63.55096,234.089185,71.212175,164.48765,31.844336,144.18333,91.730438,175.42053,50.524303,54.486145,217.908607,235.956457,61.138399,492.591172,35.469576,109.903972,82.945137,287.569278,54.752024
AMD,Lenovo Global Technology,EPYC 7F32,Lenovo Global Technology,3700,3900,x86_64,32,2,8,2,4,32,32,512,131072.0,1056712684,32,33554432.0,3200,960.0,SLES,12.5,SUSE Linux Enterprise Server 12 SP5 (x86_64),C/C++/Fortran: Version 2.0.0 of AOCC,Yes,xfs,16,cpu2017-20200525-22555.csv,402.038393,146.747179,147.797978,112.789094,48.504382,107.990244,92.067475,143.655509,47.605968,186.174138,53.607716,221.479311,85.474996,168.774503,123.219163,141.796126,71.837945,126.896726,134.714505,116.876798
Intel,Supermicro,Xeon Bronze 3106,Supermicro,1700,1700,x86_64,16,1,8,2,2,32,32,1024.0,11264.0,791229784,24,33554432.0,2666,200.0,SLES,12.3,SUSE Linux Enterprise Server 12 SP3 (x86_64),C/C++: Version 18.0.0.128 of Intel C/C++,Yes,xfs,16,cpu2017-20180723-07944.csv,259.947518,226.961198,57.340585,290.719044,29.376455,178.306061,32.141354,411.494797,17.583374,504.055698,33.025108,359.51434,29.216942,493.754609,52.620584,332.037367,48.911398,186.377824,53.581921,293.849112
Intel,Hewlett Packard Enterprise,Xeon Platinum 8280,HPE,2700,4000,x86_64,56,1,28,2,2,32,32,1024.0,39424.0,395896424,24,16777216.0,2933,400.0,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.0.117 of Intel C/C++,Yes,btrfs,56,cpu2017-20190319-11422.csv,514.906445,114.580038,187.187931,89.054887,107.864804,48.560789,131.903682,100.270135,136.401755,64.97717,57.827852,205.316289,173.673356,83.063979,327.374206,53.370118,87.066743,104.701286,157.945933,99.686011
Intel,Lenovo Global Technology,Xeon Gold 6140M,Lenovo Global Technology,2300,3700,x86_64,72,1,18,4,4,32,32,1024.0,25344.0,1584767344,48,33554432.0,2666,800.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2 (x86_64),C/C++: Version 18.0.0.128 of Intel C/C++,Yes,xfs,72,cpu2017-20171113-00507.csv,815.294154,72.364066,205.965492,80.935888,79.56139,65.835954,74.252931,178.120914,126.624597,69.9943,56.736727,209.264804,185.36848,77.823371,331.107843,52.768306,111.44196,81.800428,190.722199,82.554627
Intel,Huawei,Xeon Platinum 8160,Huawei,2100,3700,x86_64,48,1,24,2,2,32,32,1024.0,33792.0,394169164,24,16777216.0,2666,1200.0,RHEL,7.3,Red Hat Enterprise Linux Server release 7.3,C/C++: Version 18.0.2.199 of Intel C/C++,Yes,xfs,48,cpu2017-20181015-09203.csv,485.744804,121.458839,166.869857,99.89821,45.224701,115.82166,84.29505,156.901266,99.041014,89.488179,61.919292,191.749607,126.397518,114.131988,249.019535,70.16317,85.661693,106.41863,148.114915,106.302596
Intel,Cisco Systems,Xeon Bronze 3106,Cisco Systems,1700,,x86_64,16,1,8,2,2,32,32,1024.0,11264.0,394667604,24,16777216.0,2666,600.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2 (x86_64),C/C++: Version 18.0.0.128 of Intel C/C++,Yes,xfs,16,cpu2017-20171225-02070.csv,289.221028,203.989317,58.928563,282.884889,30.307963,172.825868,33.010458,400.660911,17.665529,501.711544,33.615438,353.200816,29.226263,493.59715,52.89272,330.329015,51.155544,178.201604,56.447167,278.933394
Intel,Dell Inc.,Xeon Gold 6242R,Dell Inc.,3100,4100,x86_64,40,1,20,2,2,32,32,1024.0,36608.0,394827936,24,16777216.0,2933,1966.08,SLES,15.1,SUSE Linux Enterprise Server 15 SP1,C/C++: Version 19.0.4.227 of Intel C/C++,Yes,xfs,40,cpu2017-20200203-20768.csv,536.200495,110.029738,169.347516,98.436637,106.182047,49.330373,139.028142,95.131819,109.054721,81.271126,73.332146,161.907167,148.238111,97.316405,276.766735,63.128974,86.718114,105.122212,150.554494,104.580073
Intel,Lenovo Global Technology,Xeon Platinum 8260M,Lenovo Global Technology,2400,3900,x86_64,96,1,24,4,4,32,32,1024.0,36608.0,792197992,48,16777216.0,2933,800.0,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.1.144 of Intel C/C++,Yes,xfs,96,cpu2017-20190722-16227.csv,912.138257,64.680984,217.220128,76.742428,158.844259,32.975696,140.495492,94.138252,160.598901,55.187177,52.639587,225.552683,249.81595,57.746513,436.842712,39.996089,81.076135,112.437525,288.517768,54.572029
Intel,Lenovo Global Technology,Xeon Gold 6244,Lenovo Global Technology,3600,4400,x86_64,64,2,8,4,4,32,32,1024.0,25344.0,1584956740,48,33554432.0,2933,800.0,SLES,12.4,SUSE Linux Enterprise Server 12 SP4 (x86_64),C/C++: Version 19.0.1.144 of Intel C/C++,Yes,tmpfs,32,cpu2017-20190610-15189.csv,815.318604,72.361896,129.089107,129.135606,137.511073,38.091478,123.729245,106.894696,92.696412,95.613194,59.489708,199.58074,132.703413,108.708583,237.97121,73.420646,110.465413,82.523568,153.623543,102.490801
Intel,Hewlett Packard Enterprise,Xeon Gold 6246,HPE,3300,4200,x86_64,48,2,12,2,2,32,32,1024.0,25344.0,395898020,24,16777216.0,2933,400.0,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.2.187 of Intel C/C++,Yes,xfs,48,cpu2017-20190723-16337.csv,464.945319,126.892341,120.08424,138.819216,78.193082,66.988023,125.001869,105.806418,99.478421,89.094699,54.027192,219.759709,100.871992,143.012938,202.587388,86.244263,83.813719,108.76501,120.780815,130.360107
Intel,Dell Inc.,Xeon Platinum 8280,Dell Inc.,2700,4000,x86_64,112,1,28,4,4,32,32,1024.0,39424.0,791044008,24,33554432.0,2933,1536.0,Ubuntu,18.04,Ubuntu 18.04.2 LTS,C/C++: Version 19.0.1.144 of Intel C/C++,Yes,tmpfs,112,cpu2017-20190317-11150.csv,786.081316,75.053304,225.051362,74.07198,117.119787,44.723442,149.329813,88.569052,175.217659,50.582801,68.288341,173.865697,266.746162,54.081378,512.201894,34.111549,103.048577,88.463133,392.183549,40.147018
Intel,Hewlett Packard Enterprise,Xeon Gold 5215L,HPE,2500,3400,x86_64,40,2,10,2,2,32,32,1024.0,14080.0,395900000,24,16777216.0,2666,400.0,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.2.187 of Intel C/C++,Yes,xfs,40,cpu2017-20190610-15032.csv,332.637417,177.364292,96.278527,173.143489,62.276273,84.109079,91.218045,144.993241,67.564605,131.178151,48.666353,243.967324,61.264207,235.471911,138.108197,126.509508,68.051053,133.958251,72.189838,218.105491
