vendor,hardware_vendor,model_name,test_sponsor,nominal_mhz,max_mhz,arch,cpus,threads_per_core,cores_per_socket,sockets,numas,l1d_cache_kb,l1i_cache_kb,l2_cache_kb,l3_cache_kb,mem_kb,mem_channels,channel_kb,mem_data_rate,storage_gb,os_name,os_vid,os,compiler,parallel,file_system,threads_or_copies,file,503.bwaves_r,t_503.bwaves_r,507.cactuBSSN_r,t_507.cactuBSSN_r,508.namd_r,t_508.namd_r,510.parest_r,t_510.parest_r,511.povray_r,t_511.povray_r,519.lbm_r,t_519.lbm_r,521.wrf_r,t_521.wrf_r,526.blender_r,t_526.blender_r,527.cam4_r,t_527.cam4_r,538.imagick_r,t_538.imagick_r,544.nab_r,t_544.nab_r,549.fotonik3d_r,t_549.fotonik3d_r,554.roms_r,t_554.roms_r
Intel,Lenovo Global Technology,Xeon Platinum 8160,Lenovo Global Technology,2100,3700,x86_64,96,2,24,2,4,32,32,1024.0,33792.0,792243944,24,33554432.0,2666,800.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2 (x86_64),C/C++: Version 18.0.0.128 of Intel C/C++,No,xfs,96,cpu2017-20171127-01088.csv,467.936832,2057.30334,194.700384,624.220637,173.07984,526.924356,116.444448,2156.702764,273.365664,820.000611,113.406048,892.227672,208.50864,1031.323994,245.633856,595.227484,241.179072,696.179808,376.714368,633.774584,330.006912,489.589793,152.523264,2452.819893,103.495008,1473.92646
Intel,Huawei,Xeon Gold 5115,Huawei,2400,3200,x86_64,40,2,10,2,2,32,32,1024.0,14080.0,394148704,24,16777216.0,2666,1200.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2 (x86_64),C/C++: Version 18.0.0.128 of Intel C/C++,No,xfs,40,cpu2017-20180127-03117.csv,357.97144,1120.536367,95.64268,529.470733,78.90928,481.565563,72.2186,1448.934192,124.02532,753.07211,82.09704,513.538666,137.6264,651.037944,109.98544,553.891564,104.66308,668.430675,158.55852,627.402493,140.29348,479.851291,111.03944,1403.825639,62.79736,1012.144423
Intel,Fujitsu,Xeon Gold 6238,Fujitsu,2100,3700,x86_64,176,2,22,4,8,32,32,1024.0,30976.0,1583469544,48,33554432.0,2933,480.0,SLES,15,SUSE Linux Enterprise Server 15,C/C++: Version 19.0.0.117 of Intel C/C++,No,btrfs,176,cpu2017-20190917-18474.csv,1046.412752,1686.646252,365.956624,608.859136,358.860128,465.919743,242.720016,1896.901613,525.631568,781.840468,249.84872,742.465246,449.05344,877.935456,481.934816,556.191392,534.515168,575.893866,1096.627136,399.14388,798.284608,371.0556,330.794816,2073.406368,197.678272,1414.743572
Intel,NEC Corporation,Xeon Platinum 8170M,NEC Corporation,2100,3700,x86_64,104,2,26,2,4,32,32,1024.0,36608.0,197737524,24,8388608.0,2666,1024.0,RHEL,7.4,Red Hat Enterprise Linux Server release 7.4,C/C++: Version 18.0.2.199 of Intel C/C++,No,ext4,104,cpu2017-20180625-07285.csv,487.929416,2137.423804,221.177632,595.286335,194.1342,508.926308,117.531752,2314.812036,302.811496,801.95114,119.071888,920.586969,214.16616,1087.753481,288.247752,549.499523,279.86088,649.951496,639.97388,404.154001,459.487288,380.928964,160.480528,2525.465945,90.6594,1822.821538
Intel,Lenovo Global Technology,Xeon Gold 6136,Lenovo Global Technology,3000,3700,x86_64,96,2,12,4,8,32,32,1024.0,25344.0,1584766272,48,33554432.0,2666,800.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2 (x86_64),C/C++: Version 18.0.0.128 of Intel C/C++,No,tmpfs,96,cpu2017-20171212-01700.csv,953.413728,1009.727448,258.62592,469.929691,230.001504,396.519178,229.832256,1092.692589,368.5968,608.144112,196.260864,515.55873,388.900416,552.943617,326.223552,448.183504,342.515328,490.208764,496.48224,480.88731,425.365632,379.833256,266.763552,1402.410641,185.99424,820.154298
Intel,Hewlett Packard Enterprise,Xeon E5-2699A v4,HPE,2400,3600,,,,,,,32,32,256,56320.0,528955384,16,33554432.0,2400,400.0,SLES,12.1,SUSE Linux Enterprise Server 12 (x86_64) SP1,C/C++: Version 17.0.0.098 of Intel C/C++,No,xfs,88,cpu2017-20161026-00022.csv,298.495472,2956.373173,112.672384,988.778471,153.685928,543.966461,72.888904,3158.341274,242.32648,847.946834,73.477272,1262.322324,133.807696,1473.158532,220.768768,607.078554,182.343304,844.077954,235.087688,930.9548,299.07064,495.214131,97.072096,3532.795357,60.757664,2301.470159
Intel,Dell Inc.,Xeon E-2126G,Dell Inc.,3300,4500,x86_64,6,1,6,1,1,32,32,256,12288.0,65819520,4,16777216.0,2666,960.0,SLES,12.3,SUSE Linux Enterprise Server 12 SP3,C/C++: Version 18.0.2.20180210 of Intel C/C++,No,xfs,6,cpu2017-20190204-10959.csv,74.445048,808.220336,35.604492,213.343876,31.511712,180.885118,22.64565,693.113199,50.653404,276.585544,17.784498,355.590611,38.502936,349.064295,41.828934,218.461211,47.231154,222.183867,111.105678,134.304566,63.047328,160.165391,22.720494,1029.115018,15.664218,608.64825
Intel,Supermicro,Xeon Gold 5118,Supermicro,2300,3200,x86_64,24,2,12,1,1,32,32,1024.0,16896.0,196685012,6,33554432.0,2666,200.0,SLES,12.3,SUSE Linux Enterprise Server 12 SP3 (x86_64),C/C++: Version 18.0.2.199 of Intel C/C++,No,xfs,24,cpu2017-20181112-09662.csv,188.365752,1277.684417,55.998576,542.585314,47.908224,475.909922,41.790936,1502.335247,76.010592,737.265566,41.894592,603.801177,78.73128,682.829077,67.775112,539.312995,61.857432,678.592692,155.590488,383.622397,105.3042,383.574455,59.801784,1563.966491,34.264416,1112.991723
Intel,Dell Inc.,Xeon Gold 5120,Dell Inc.,2200,3200,x86_64,112,2,14,4,8,32,32,1024.0,19712.0,791239228,48,16777216.0,2666,480.0,SLES,12.3,SUSE Linux Enterprise Server 12 SP3,C/C++: Version 18.0.0.128 of Intel C/C++,No,xfs,112,cpu2017-20190107-10549.csv,802.408208,1399.706604,237.18632,597.808428,199.725232,532.73189,174.93392,1674.872491,316.598688,826.029953,183.571136,643.06418,336.170688,746.287433,284.770416,598.994906,276.556784,708.310116,409.183376,680.731489,364.680736,516.879444,240.978416,1811.216005,145.199824,1225.676322
Intel,Lenovo Global Technology,Xeon E-2146G,Lenovo Global Technology,3500,4500,x86_64,12,2,6,1,1,32,32,256,12288.0,65807636,4,16777216.0,2666,480.0,RHEL,7.5,Red Hat Enterprise Linux Server release 7.5,C/C++: Version 18.0.2.199 of Intel C/C++,No,xfs,12,cpu2017-20181126-09923.csv,71.331336,1687.000401,36.19038,419.780023,34.02678,335.030277,18.12966,1731.527593,51.261048,546.61392,17.156856,737.197776,32.305128,832.066107,48.283884,378.511401,44.716008,469.362082,112.218192,265.94619,76.840944,262.828616,21.94212,2131.243337,12.190032,1564.228434
Intel,Lenovo Global Technology,Xeon Gold 6142M,Lenovo Global Technology,2600,3700,x86_64,128,2,16,4,8,32,32,1024.0,22528.0,1584975704,48,33554432.0,2666,800.0,SLES,12.2,SUSE Linux Enterprise Server 12 SP2 (x86_64),C/C++: Version 18.0.0.128 of Intel C/C++,No,xfs,128,cpu2017-20180511-05409.csv,910.587008,1409.622501,298.028928,543.732348,262.585216,463.087753,205.440128,1629.905645,414.376064,721.277148,204.858752,658.561034,395.710208,724.570655,370.340352,526.39154,384.657792,582.003124,568.098432,560.353593,495.417728,434.833046,271.72928,1835.709045,164.161408,1238.976038
Intel,Hewlett Packard Enterprise,Xeon Gold 6242,HPE,2800,3900,x86_64,128,2,16,4,8,32,32,1024.0,22528.0,792243204,24,33554432.0,2933,400.0,SLES,15,SUSE Linux Enterprise Server 15 (x86_64),C/C++: Version 19.0.2.187 of Intel C/C++,No,btrfs,128,cpu2017-20191119-19960.csv,915.647616,1401.831765,312.183168,519.079781,293.126912,414.837313,207.367424,1614.756569,453.129216,659.591013,214.804352,628.069187,389.511296,736.101856,434.690048,448.466609,441.619328,506.934387,979.420544,325.024835,692.884608,310.908925,297.85024,1674.721023,168.943488,1203.905393
Intel,Dell Inc.,Xeon Platinum 8170,Dell Inc.,2100,3700,x86_64,104,1,26,4,4,32,32,1024.0,36608.0,791241640,48,16777216.0,2666,480.0,SLES,12.3,SUSE Linux Enterprise Server 12 SP3,C/C++: Version 18.0.0.128 of Intel C/C++,No,xfs,104,cpu2017-20180514-05606.csv,991.01184,1052.370882,374.899408,351.198213,375.802648,262.903983,313.616264,867.505936,538.636072,450.842467,237.754088,461.04782,492.153168,473.348615,437.647392,361.916923,472.45588,385.001038,748.070544,345.753501,575.708744,304.028708,302.165552,1341.277908,236.975024,697.35604
